Run,Step,Agent,Probability of Winning
0,0,Lee,0.13666666666666671
0,0,Shin,0.5133333333333333
0,0,Kang,0.25866666666666666
0,0,Lim,0.18866666666666668
0,0,Ko,0.19333333333333333
0,1,Lee,0.11333333333333334
0,1,Shin,0.4666666666666666
0,1,Kang,0.38933333333333336
0,1,Lim,0.3273333333333334
0,1,Ko,0.0833333333333333
0,2,Lee,0.1166666666666667
0,2,Shin,0.4593333333333333
0,2,Kang,0.4086666666666664
0,2,Lim,0.29333333333333333
0,2,Ko,0.08333333333333331
0,3,Lee,0.14133333333333334
0,3,Shin,0.43200000000000016
0,3,Kang,0.4213333333333333
0,3,Lim,0.24600000000000005
0,3,Ko,0.09466666666666666
0,4,Lee,0.1806666666666667
0,4,Shin,0.3919999999999998
0,4,Kang,0.4480000000000001
0,4,Lim,0.25733333333333325
0,4,Ko,0.07999999999999999
0,5,Lee,0.27066666666666667
0,5,Shin,0.31933333333333325
0,5,Kang,0.418
0,5,Lim,0.19799999999999998
0,5,Ko,0.07999999999999999
0,6,Lee,0.28800000000000003
0,6,Shin,0.3533333333333333
0,6,Kang,0.38266666666666665
0,6,Lim,0.2373333333333333
0,6,Ko,0.09666666666666668
0,7,Lee,0.3153333333333332
0,7,Shin,0.43866666666666654
0,7,Kang,0.3379999999999999
0,7,Lim,0.21799999999999997
0,7,Ko,0.06
0,8,Lee,0.23200000000000004
0,8,Shin,0.33133333333333326
0,8,Kang,0.428
0,8,Lim,0.24066666666666658
0,8,Ko,0.08333333333333331
0,9,Lee,0.2906666666666666
0,9,Shin,0.40666666666666657
0,9,Kang,0.3079999999999999
0,9,Lim,0.25799999999999995
0,9,Ko,0.0833333333333333
0,10,Lee,0.33533333333333337
0,10,Shin,0.32799999999999996
0,10,Kang,0.2886666666666665
0,10,Lim,0.3066666666666666
0,10,Ko,0.0833333333333333
0,11,Lee,0.30999999999999994
0,11,Shin,0.4013333333333335
0,11,Kang,0.3453333333333333
0,11,Lim,0.198
0,11,Ko,0.0833333333333333
0,12,Lee,0.3093333333333333
0,12,Shin,0.3813333333333333
0,12,Kang,0.3786666666666666
0,12,Lim,0.19733333333333328
0,12,Ko,0.10000000000000002
0,13,Lee,0.37199999999999994
0,13,Shin,0.42133333333333334
0,13,Kang,0.2913333333333332
0,13,Lim,0.20533333333333328
0,13,Ko,0.05333333333333333
0,14,Lee,0.35800000000000004
0,14,Shin,0.46399999999999997
0,14,Kang,0.30933333333333335
0,14,Lim,0.19066666666666662
0,14,Ko,0.07666666666666663
0,15,Lee,0.4193333333333334
0,15,Shin,0.38533333333333325
0,15,Kang,0.23199999999999998
0,15,Lim,0.23466666666666675
0,15,Ko,0.07999999999999999
0,16,Lee,0.39800000000000013
0,16,Shin,0.4053333333333334
0,16,Kang,0.2826666666666666
0,16,Lim,0.18000000000000008
0,16,Ko,0.068
0,17,Lee,0.34666666666666673
0,17,Shin,0.5459999999999999
0,17,Kang,0.2866666666666667
