Run,Step,Agent,Reward
1,6,Kang,0.5
1,6,Lim,0.34
1,6,Ko,0.12
1,7,Lee,0.9
1,7,Shin,0.94
1,7,Kang,0.34
1,7,Lim,0.44
1,7,Ko,0.1
1,8,Lee,0.92
1,8,Shin,1.1
1,8,Kang,0.56
1,8,Lim,0.4
1,8,Ko,0.08
1,9,Lee,0.84
1,9,Shin,0.92
1,9,Kang,0.72
1,9,Lim,0.26
1,9,Ko,0.14
1,10,Lee,0.8
1,10,Shin,0.96
1,10,Kang,0.56
1,10,Lim,0.26
1,10,Ko,0.18
1,11,Lee,0.74
1,11,Shin,0.72
1,11,Kang,0.46
1,11,Lim,0.34
1,11,Ko,0.12
1,12,Lee,0.78
1,12,Shin,1.08
1,12,Kang,0.68
1,12,Lim,0.3
1,12,Ko,0.14
1,13,Lee,0.84
1,13,Shin,0.98
1,13,Kang,0.58
1,13,Lim,0.28
1,13,Ko,0.22
1,14,Lee,1.0
1,14,Shin,0.96
1,14,Kang,0.64
1,14,Lim,0.28
1,14,Ko,0.06
1,15,Lee,0.78
1,15,Shin,1.14
1,15,Kang,0.54
1,15,Lim,0.3
1,15,Ko,0.08
1,16,Lee,0.86
1,16,Shin,1.08
1,16,Kang,0.72
1,16,Lim,0.28
1,16,Ko,0.18
1,17,Lee,0.8
1,17,Shin,1.0
1,17,Kang,0.78
1,17,Lim,0.24
1,17,Ko,0.12
1,18,Lee,0.82
1,18,Shin,1.0
1,18,Kang,0.6
1,18,Lim,0.32
1,18,Ko,0.18
1,19,Lee,0.82
1,19,Shin,0.92
1,19,Kang,0.58
1,19,Lim,0.22
1,19,Ko,0.18
1,20,Lee,0.72
1,20,Shin,0.94
1,20,Kang,0.86
1,20,Lim,0.22
1,20,Ko,0.06
1,21,Lee,0.72
1,21,Shin,0.98
1,21,Kang,0.8
1,21,Lim,0.26
1,21,Ko,0.1
1,22,Lee,0.72
1,22,Shin,1.02
1,22,Kang,0.68
1,22,Lim,0.2
1,22,Ko,0.04
1,23,Lee,0.8
1,23,Shin,0.9
1,23,Kang,0.74
1,23,Lim,0.36
1,23,Ko,0.24
1,24,Lee,0.96
1,24,Shin,0.92
1,24,Kang,0.72
1,24,Lim,0.44
1,24,Ko,0.06
1,25,Lee,0.84
1,25,Shin,1.22
1,25,Kang,0.76
1,25,Lim,0.26
1,25,Ko,0.16
1,26,Lee,1.04
1,26,Shin,0.96
1,26,Kang,0.74
1,26,Lim,0.24
1,26,Ko,0.06
1,27,Lee,0.96
1,27,Shin,1.04
1,27,Kang,0.66
1,27,Lim,0.32
1,27,Ko,0.08
1,28,Lee,0.94
1,28,Shin,0.92
1,28,Kang,0.68
1,28,Lim,0.22
1,28,Ko,0.12
1,29,Lee,0.8
1,29,Shin,1.02
1,29,Kang,0.64
1,29,Lim,0.28
1,29,Ko,0.18
1,30,Lee,0.76
1,30,Shin,0.96
1,30,Kang,0.56
1,30,Lim,0.38
1,30,Ko,0.14
1,31,Lee,0.8
1,31,Shin,0.9
1,31,Kang,0.6
1,31,Lim,0.26
1,31,Ko,0.26
1,32,Lee,1.0
1,32,Shin,0.86
1,32,Kang,0.68
1,32,Lim,0.32
1,32,Ko,0.1
1,33,Lee,0.92
1,33,Shin,0.98
1,33,Kang,0.76
1,33,Lim,0.4
1,33,Ko,0.12
1,34,Lee,1.06
1,34,Shin,0.76
1,34,Kang,0.44
1,34,Lim,0.3
1,34,Ko,0.16
1,35,Lee,0.72
1,35,Shin,0.84
1,35,Kang,0.66
1,35,Lim,0.4
1,35,Ko,0.14
1,36,Lee,0.88
1,36,Shin,0.94
1,36,Kang,0.82
1,36,Lim,0.22
1,36,Ko,0.12
1,37,Lee,0.98
1,37,Shin,0.64
1,37,Kang,0.82
1,37,Lim,0.34
1,37,Ko,0.1
1,38,Lee,1.02
1,38,Shin,0.8
1,38,Kang,0.78
1,38,Lim,0.34
1,38,Ko,0.18
1,39,Lee,0.86
1,39,Shin,0.76
1,39,Kang,0.7
1,39,Lim,0.34
1,39,Ko,0.2
2,0,Lee,0.48
2,0,Shin,0.98
2,0,Kang,0.74
2,0,Lim,0.4
2,0,Ko,0.42
2,1,Lee,0.82
2,1,Shin,0.84
2,1,Kang,0.86
2,1,Lim,0.48
2,1,Ko,0.24
2,2,Lee,0.86
2,2,Shin,0.74
2,2,Kang,0.56
2,2,Lim,0.46
2,2,Ko,0.14
2,3,Lee,0.84
2,3,Shin,0.86
2,3,Kang,0.54
2,3,Lim,0.32
2,3,Ko,0.16
2,4,Lee,1.1
2,4,Shin,0.8
2,4,Kang,0.72
2,4,Lim,0.32
2,4,Ko,0.14
2,5,Lee,0.98
2,5,Shin,1.06
2,5,Kang,0.72
2,5,Lim,0.56
2,5,Ko,0.12
2,6,Lee,0.86
2,6,Shin,0.92
2,6,Kang,0.5
2,6,Lim,0.3
2,6,Ko,0.24
2,7,Lee,0.86
2,7,Shin,1.2
2,7,Kang,0.54
2,7,Lim,0.36
2,7,Ko,0.34
2,8,Lee,1.04
2,8,Shin,0.92
2,8,Kang,0.44
2,8,Lim,0.38
2,8,Ko,0.14
2,9,Lee,0.84
2,9,Shin,0.72
2,9,Kang,0.6
2,9,Lim,0.38
2,9,Ko,0.2
2,10,Lee,0.74
2,10,Shin,1.12
2,10,Kang,0.62
2,10,Lim,0.34
2,10,Ko,0.2
2,11,Lee,0.82
2,11,Shin,1.04
2,11,Kang,0.66
2,11,Lim,0.18
2,11,Ko,0.06
2,12,Lee,0.88
2,12,Shin,0.98
2,12,Kang,0.72
2,12,Lim,0.3
2,12,Ko,0.12
2,13,Lee,0.86
2,13,Shin,1.02
2,13,Kang,0.68
