Run,Step,Optimal Selection Rate
0,0,0.10183333333333333
0,1,0.2596666666666666
0,2,0.4586666666666666
0,3,0.6305
0,4,0.7490000000000001
0,5,0.7538333333333334
0,6,0.7958333333333333
0,7,0.8264999999999999
0,8,0.7778333333333333
0,9,0.8148333333333333
0,10,0.8045
0,11,0.7971666666666666
0,12,0.7975
0,13,0.7879999999999999
0,14,0.8036666666666664
0,15,0.7516666666666666
0,16,0.7375
0,17,0.7673333333333333
0,18,0.7578333333333331
0,19,0.7441666666666669
0,20,0.727
0,21,0.7578333333333335
0,22,0.7278333333333333
0,23,0.7340000000000001
0,24,0.7144999999999999
0,25,0.7225
0,26,0.7116666666666669
0,27,0.7363333333333331
0,28,0.6816666666666668
0,29,0.7426666666666667
0,30,0.6681666666666666
0,31,0.6895
0,32,0.6853333333333333
0,33,0.6298333333333334
0,34,0.6669999999999999
0,35,0.6946666666666667
0,36,0.659
0,37,0.6843333333333332
0,38,0.634
0,39,0.6498333333333334
0,40,0.6703333333333333
0,41,0.6743333333333332
0,42,0.6326666666666667
0,43,0.6458333333333333
0,44,0.6471666666666667
0,45,0.6581666666666665
0,46,0.6576666666666665
0,47,0.6719999999999999
0,48,0.6884999999999999
0,49,0.6194999999999999
