Run,Step,Probability of Winning
0,0,0.5278333333333333
0,1,0.6028333333333333
0,2,0.5956666666666667
0,3,0.595
0,4,0.5831666666666667
0,5,0.6076666666666667
0,6,0.594
0,7,0.5953333333333334
0,8,0.5666666666666667
0,9,0.572
0,10,0.5943333333333334
0,11,0.6091666666666666
0,12,0.6309999999999999
0,13,0.5993333333333334
0,14,0.5953333333333333
0,15,0.5516666666666666
0,16,0.57
0,17,0.5365000000000001
0,18,0.5015
0,19,0.5185
0,20,0.5478333333333333
0,21,0.5056666666666667
0,22,0.5636666666666666
0,23,0.5275000000000001
0,24,0.5755
0,25,0.5833333333333334
0,26,0.606
0,27,0.5881666666666666
0,28,0.6156666666666666
0,29,0.635
0,30,0.6013333333333333
0,31,0.5766666666666665
0,32,0.5781666666666667
0,33,0.5716666666666665
0,34,0.5784999999999999
0,35,0.5671666666666667
0,36,0.5491666666666667
0,37,0.5426666666666666
0,38,0.5566666666666666
0,39,0.5416666666666666
0,40,0.5053333333333334
0,41,0.5241666666666667
0,42,0.5249999999999999
0,43,0.5351666666666667
0,44,0.5301666666666667
0,45,0.5253333333333333
0,46,0.5098333333333334
0,47,0.5271666666666666
0,48,0.5095
0,49,0.5483333333333333
