Run,Step,Probability of Winning
0,0,0.4833333333333333
0,1,0.5435
0,2,0.5651666666666667
0,3,0.6268333333333334
0,4,0.5851666666666667
0,5,0.672
0,6,0.6383333333333333
0,7,0.6218333333333333
0,8,0.6210000000000001
0,9,0.5771666666666667
0,10,0.5606666666666666
0,11,0.6048333333333332
0,12,0.5093333333333334
0,13,0.5286666666666667
0,14,0.5541666666666667
0,15,0.5931666666666667
0,16,0.5660000000000001
0,17,0.5295000000000001
0,18,0.5251666666666667
0,19,0.531
0,20,0.5353333333333334
0,21,0.5751666666666666
0,22,0.5351666666666667
0,23,0.49
0,24,0.5493333333333333
0,25,0.5068333333333332
0,26,0.495
0,27,0.5116666666666667
0,28,0.5426666666666666
0,29,0.48333333333333334
0,30,0.5760000000000001
0,31,0.5333333333333333
0,32,0.49000000000000005
0,33,0.54
0,34,0.48750000000000004
0,35,0.5150000000000001
0,36,0.5666666666666668
0,37,0.4933333333333334
0,38,0.54
0,39,0.555
0,40,0.5366666666666667
0,41,0.5066666666666666
0,42,0.5066666666666666
0,43,0.4766666666666666
0,44,0.4866666666666667
0,45,0.4933333333333334
0,46,0.4866666666666667
0,47,0.5275000000000001
0,48,0.5133333333333333
0,49,0.4908333333333333
