Run,Step,Agent,Episode Length
0,0,Lee,8.0
0,0,Shin,4.42
0,0,Kang,5.7
0,0,Lim,5.58
0,0,Ko,8.0
0,1,Lee,7.88
0,1,Shin,4.76
0,1,Kang,6.34
0,1,Lim,5.96
0,1,Ko,7.98
0,2,Lee,7.82
0,2,Shin,4.18
0,2,Kang,5.8
0,2,Lim,6.3
0,2,Ko,8.0
0,3,Lee,7.88
0,3,Shin,4.54
0,3,Kang,5.6
0,3,Lim,6.7
0,3,Ko,7.78
0,4,Lee,7.5
0,4,Shin,4.68
0,4,Kang,5.94
0,4,Lim,6.48
0,4,Ko,7.82
0,5,Lee,7.56
0,5,Shin,4.58
0,5,Kang,5.72
0,5,Lim,7.04
0,5,Ko,7.96
0,6,Lee,6.86
0,6,Shin,4.96
0,6,Kang,5.94
0,6,Lim,6.92
0,6,Ko,7.96
0,7,Lee,7.26
0,7,Shin,5.12
0,7,Kang,5.72
0,7,Lim,7.1
0,7,Ko,7.96
0,8,Lee,7.24
0,8,Shin,5.06
0,8,Kang,6.08
0,8,Lim,7.14
0,8,Ko,8.0
0,9,Lee,7.22
0,9,Shin,5.3
0,9,Kang,5.68
0,9,Lim,6.88
0,9,Ko,7.98
0,10,Lee,7.02
0,10,Shin,5.06
0,10,Kang,6.38
0,10,Lim,6.86
0,10,Ko,7.92
0,11,Lee,6.78
0,11,Shin,4.86
0,11,Kang,6.38
0,11,Lim,7.22
0,11,Ko,7.94
0,12,Lee,6.4
0,12,Shin,5.02
0,12,Kang,6.62
0,12,Lim,7.18
0,12,Ko,7.86
0,13,Lee,6.5
0,13,Shin,5.56
0,13,Kang,6.24
0,13,Lim,7.32
0,13,Ko,7.66
0,14,Lee,6.26
0,14,Shin,4.94
0,14,Kang,6.9
0,14,Lim,7.4
0,14,Ko,7.82
0,15,Lee,6.88
0,15,Shin,4.98
0,15,Kang,6.68
0,15,Lim,7.1
0,15,Ko,7.88
0,16,Lee,6.8
0,16,Shin,4.44
0,16,Kang,5.94
0,16,Lim,7.36
0,16,Ko,7.66
0,17,Lee,6.18
0,17,Shin,4.9
0,17,Kang,6.56
0,17,Lim,7.26
0,17,Ko,7.96
0,18,Lee,5.68
0,18,Shin,5.06
0,18,Kang,6.08
0,18,Lim,7.6
0,18,Ko,7.82
0,19,Lee,6.68
0,19,Shin,4.58
0,19,Kang,6.62
0,19,Lim,7.16
0,19,Ko,7.76
0,20,Lee,6.5
0,20,Shin,4.28
0,20,Kang,6.62
0,20,Lim,7.54
0,20,Ko,7.8
0,21,Lee,6.52
0,21,Shin,4.12
0,21,Kang,6.78
0,21,Lim,7.22
0,21,Ko,7.66
0,22,Lee,6.38
0,22,Shin,4.04
0,22,Kang,6.54
0,22,Lim,7.58
0,22,Ko,7.78
0,23,Lee,6.26
0,23,Shin,3.96
0,23,Kang,6.32
0,23,Lim,7.34
0,23,Ko,7.96
0,24,Lee,6.1
0,24,Shin,4.36
0,24,Kang,6.52
0,24,Lim,7.42
0,24,Ko,7.96
0,25,Lee,5.6
0,25,Shin,4.5
0,25,Kang,6.64
0,25,Lim,7.4
0,25,Ko,7.88
0,26,Lee,6.36
0,26,Shin,3.58
0,26,Kang,6.4
0,26,Lim,7.52
0,26,Ko,7.76
0,27,Lee,5.68
0,27,Shin,3.9
0,27,Kang,6.8
0,27,Lim,7.6
0,27,Ko,7.98
0,28,Lee,6.0
0,28,Shin,3.68
0,28,Kang,6.62
0,28,Lim,7.62
0,28,Ko,7.86
0,29,Lee,5.36
0,29,Shin,3.98
0,29,Kang,6.84
0,29,Lim,7.58
0,29,Ko,7.84
0,30,Lee,6.1
0,30,Shin,3.52
0,30,Kang,7.12
0,30,Lim,7.5
0,30,Ko,7.9
0,31,Lee,6.08
0,31,Shin,3.26
0,31,Kang,6.62
0,31,Lim,7.58
0,31,Ko,7.74
0,32,Lee,5.34
0,32,Shin,3.52
0,32,Kang,6.94
0,32,Lim,7.54
0,32,Ko,7.9
0,33,Lee,5.72
0,33,Shin,3.62
0,33,Kang,6.86
0,33,Lim,7.66
0,33,Ko,7.96
0,34,Lee,6.14
0,34,Shin,3.16
0,34,Kang,6.82
0,34,Lim,7.76
0,34,Ko,7.88
0,35,Lee,5.32
0,35,Shin,3.64
0,35,Kang,7.06
0,35,Lim,7.72
0,35,Ko,7.96
0,36,Lee,5.2
0,36,Shin,3.34
0,36,Kang,7.02
0,36,Lim,7.68
0,36,Ko,7.68
0,37,Lee,5.46
0,37,Shin,3.48
0,37,Kang,7.02
0,37,Lim,7.56
0,37,Ko,7.82
0,38,Lee,5.36
0,38,Shin,3.52
0,38,Kang,7.56
0,38,Lim,7.42
0,38,Ko,7.58
0,39,Lee,5.32
0,39,Shin,3.58
0,39,Kang,7.42
0,39,Lim,7.3
0,39,Ko,7.82
1,0,Lee,8.0
1,0,Shin,4.08
1,0,Kang,5.58
1,0,Lim,7.0
1,0,Ko,7.88
1,1,Lee,7.92
1,1,Shin,4.36
1,1,Kang,6.1
1,1,Lim,5.7
1,1,Ko,7.94
1,2,Lee,7.88
1,2,Shin,4.46
1,2,Kang,5.84
1,2,Lim,6.06
1,2,Ko,8.0
1,3,Lee,7.74
1,3,Shin,4.2
1,3,Kang,6.0
1,3,Lim,6.36
1,3,Ko,7.94
1,4,Lee,7.26
1,4,Shin,3.9
1,4,Kang,5.54
1,4,Lim,6.8
1,4,Ko,8.0
1,5,Lee,7.36
1,5,Shin,4.3
1,5,Kang,6.4
1,5,Lim,6.88
1,5,Ko,7.84
1,6,Lee,7.4
1,6,Shin,4.32
1,6,Kang,5.84
1,6,Lim,6.7
1,6,Ko,8.0
1,7,Lee,7.62
1,7,Shin,4.36
1,7,Kang,6.02
1,7,Lim,7.0
1,7,Ko,8.0
1,8,Lee,7.42
1,8,Shin,4.56
1,8,Kang,6.02
1,8,Lim,7.26
1,8,Ko,7.94
1,9,Lee,7.16
1,9,Shin,4.52
1,9,Kang,6.2
1,9,Lim,6.86
1,9,Ko,7.92
1,10,Lee,7.08
1,10,Shin,4.12
1,10,Kang,6.32
1,10,Lim,7.14
1,10,Ko,7.8
1,11,Lee,7.24
1,11,Shin,3.92
1,11,Kang,6.5
1,11,Lim,6.8
1,11,Ko,7.9
1,12,Lee,7.52
1,12,Shin,4.36
1,12,Kang,6.26
1,12,Lim,6.84
1,12,Ko,7.92
1,13,Lee,7.3
1,13,Shin,4.6
1,13,Kang,6.24
1,13,Lim,7.08
1,13,Ko,7.9
1,14,Lee,7.14
1,14,Shin,4.44
1,14,Kang,6.3
1,14,Lim,7.1
1,14,Ko,7.78
1,15,Lee,7.1
1,15,Shin,4.26
1,15,Kang,6.3
1,15,Lim,7.1
1,15,Ko,7.92
1,16,Lee,6.96
1,16,Shin,4.1
1,16,Kang,6.24
1,16,Lim,7.14
1,16,Ko,8.0
1,17,Lee,6.46
1,17,Shin,4.66
1,17,Kang,6.42
1,17,Lim,7.1
1,17,Ko,7.9
1,18,Lee,6.0
1,18,Shin,4.34
1,18,Kang,6.92
1,18,Lim,6.76
1,18,Ko,7.98
1,19,Lee,5.9
1,19,Shin,4.48
1,19,Kang,6.64
1,19,Lim,6.92
1,19,Ko,7.96
1,20,Lee,5.84
1,20,Shin,4.68
1,20,Kang,6.66
1,20,Lim,7.12
1,20,Ko,7.92
1,21,Lee,6.5
1,21,Shin,4.24
1,21,Kang,6.68
1,21,Lim,7.46
1,21,Ko,7.84
1,22,Lee,5.46
1,22,Shin,4.1
1,22,Kang,6.34
1,22,Lim,7.6
1,22,Ko,7.9
1,23,Lee,5.96
1,23,Shin,3.76
1,23,Kang,6.86
1,23,Lim,7.34
1,23,Ko,7.88
1,24,Lee,6.18
1,24,Shin,3.42
1,24,Kang,6.38
1,24,Lim,7.34
1,24,Ko,7.96
1,25,Lee,5.94
1,25,Shin,3.42
1,25,Kang,7.36
1,25,Lim,7.1
1,25,Ko,7.84
1,26,Lee,6.32
1,26,Shin,3.22
1,26,Kang,7.7
1,26,Lim,7.04
1,26,Ko,7.62
1,27,Lee,6.1
1,27,Shin,3.38
1,27,Kang,7.5
1,27,Lim,7.2
1,27,Ko,7.78
1,28,Lee,5.86
1,28,Shin,3.5
1,28,Kang,7.76
1,28,Lim,6.92
1,28,Ko,7.8
1,29,Lee,6.0
1,29,Shin,3.1
1,29,Kang,7.22
1,29,Lim,7.58
1,29,Ko,7.72
1,30,Lee,6.16
1,30,Shin,2.96
1,30,Kang,7.42
1,30,Lim,7.28
1,30,Ko,7.72
1,31,Lee,6.46
1,31,Shin,2.86
1,31,Kang,7.54
1,31,Lim,7.24
1,31,Ko,7.56
1,32,Lee,6.02
1,32,Shin,2.9
1,32,Kang,7.28
1,32,Lim,7.14
1,32,Ko,7.9
1,33,Lee,5.88
1,33,Shin,2.94
1,33,Kang,7.54
1,33,Lim,7.16
1,33,Ko,7.68
1,34,Lee,5.84
1,34,Shin,2.92
1,34,Kang,7.64
1,34,Lim,7.12
1,34,Ko,7.84
1,35,Lee,6.58
1,35,Shin,2.8
1,35,Kang,7.58
1,35,Lim,6.84
1,35,Ko,7.78
1,36,Lee,5.66
1,36,Shin,2.8
1,36,Kang,7.54
1,36,Lim,7.18
1,36,Ko,7.82
1,37,Lee,5.8
1,37,Shin,2.86
1,37,Kang,7.46
1,37,Lim,7.32
1,37,Ko,7.8
1,38,Lee,6.12
1,38,Shin,2.64
1,38,Kang,7.6
1,38,Lim,7.0
1,38,Ko,7.96
1,39,Lee,5.9
1,39,Shin,2.78
1,39,Kang,7.54
1,39,Lim,7.16
1,39,Ko,7.76
2,0,Lee,8.0
2,0,Shin,4.28
2,0,Kang,7.52
2,0,Lim,5.7
2,0,Ko,7.88
2,1,Lee,7.88
2,1,Shin,4.1
2,1,Kang,6.78
2,1,Lim,5.78
2,1,Ko,7.98
2,2,Lee,7.32
2,2,Shin,4.54
2,2,Kang,6.02
2,2,Lim,6.7
2,2,Ko,7.98
2,3,Lee,7.64
2,3,Shin,5.34
2,3,Kang,5.02
2,3,Lim,6.98
2,3,Ko,8.0
2,4,Lee,7.36
2,4,Shin,4.76
2,4,Kang,5.52
2,4,Lim,6.94
2,4,Ko,7.92
2,5,Lee,7.78
2,5,Shin,5.2
2,5,Kang,5.78
2,5,Lim,6.74
2,5,Ko,8.0
2,6,Lee,7.34
2,6,Shin,4.88
2,6,Kang,5.72
2,6,Lim,7.06
2,6,Ko,8.0
2,7,Lee,7.58
2,7,Shin,5.2
2,7,Kang,5.3
2,7,Lim,6.84
2,7,Ko,7.8
2,8,Lee,7.22
2,8,Shin,5.02
2,8,Kang,6.18
2,8,Lim,6.68
2,8,Ko,7.9
2,9,Lee,7.0
2,9,Shin,4.68
2,9,Kang,6.72
2,9,Lim,6.84
2,9,Ko,7.94
2,10,Lee,7.12
2,10,Shin,5.54
2,10,Kang,5.86
2,10,Lim,7.12
2,10,Ko,7.92
2,11,Lee,6.76
2,11,Shin,4.98
2,11,Kang,6.48
2,11,Lim,6.78
2,11,Ko,7.88
2,12,Lee,7.04
2,12,Shin,5.48
2,12,Kang,6.6
2,12,Lim,6.96
2,12,Ko,7.9
2,13,Lee,6.9
2,13,Shin,5.18
2,13,Kang,5.82
2,13,Lim,7.04
2,13,Ko,8.0
2,14,Lee,6.58
2,14,Shin,5.44
2,14,Kang,5.98
2,14,Lim,7.26
2,14,Ko,7.78
