Run,Step,Agent,Probability of Winning
0,0,Lee,0.135
0,0,Shin,0.5426428571428574
0,0,Kang,0.40673809523809523
0,0,Lim,0.40445238095238095
0,0,Ko,0.1275
0,1,Lee,0.18404761904761904
0,1,Shin,0.48964285714285716
0,1,Kang,0.3625238095238096
0,1,Lim,0.37409523809523804
0,1,Ko,0.12821428571428573
0,2,Lee,0.14833333333333334
0,2,Shin,0.5929285714285712
0,2,Kang,0.38695238095238094
0,2,Lim,0.33307142857142863
0,2,Ko,0.15
0,3,Lee,0.16514285714285712
0,3,Shin,0.5243095238095238
0,3,Kang,0.41121428571428564
0,3,Lim,0.2772142857142858
0,3,Ko,0.18702380952380954
0,4,Lee,0.21204761904761907
0,4,Shin,0.48964285714285716
0,4,Kang,0.37959523809523804
0,4,Lim,0.3135714285714286
0,4,Ko,0.16464285714285715
0,5,Lee,0.22569047619047616
0,5,Shin,0.5115476190476188
0,5,Kang,0.3989761904761904
0,5,Lim,0.25040476190476196
0,5,Ko,0.13142857142857142
0,6,Lee,0.3119047619047619
0,6,Shin,0.5055714285714284
0,6,Kang,0.37166666666666665
0,6,Lim,0.2626904761904763
0,6,Ko,0.11416666666666668
0,7,Lee,0.2317142857142857
0,7,Shin,0.46769047619047627
0,7,Kang,0.402452380952381
0,7,Lim,0.25045238095238104
0,7,Ko,0.13416666666666668
0,8,Lee,0.25230952380952376
0,8,Shin,0.46545238095238095
0,8,Kang,0.3696190476190476
0,8,Lim,0.2428095238095238
0,8,Ko,0.14
0,9,Lee,0.24752380952380956
0,9,Shin,0.46502380952380945
0,9,Kang,0.4252380952380952
0,9,Lim,0.269452380952381
0,9,Ko,0.12821428571428573
0,10,Lee,0.2775476190476191
0,10,Shin,0.4651190476190474
0,10,Kang,0.37466666666666676
0,10,Lim,0.2697380952380953
0,10,Ko,0.1175
0,11,Lee,0.3011428571428572
0,11,Shin,0.49557142857142833
0,11,Kang,0.3410952380952381
0,11,Lim,0.22750000000000006
0,11,Ko,0.133
0,12,Lee,0.3255952380952381
0,12,Shin,0.4761428571428571
0,12,Kang,0.3161666666666668
0,12,Lim,0.23185714285714287
0,12,Ko,0.1305
0,13,Lee,0.3307380952380953
0,13,Shin,0.4133571428571428
0,13,Kang,0.36909523809523803
0,13,Lim,0.21157142857142863
0,13,Ko,0.16221428571428576
0,14,Lee,0.3549523809523809
0,14,Shin,0.4477857142857144
0,14,Kang,0.3036904761904763
0,14,Lim,0.20302380952380955
0,14,Ko,0.15400000000000003
0,15,Lee,0.27602380952380956
0,15,Shin,0.46914285714285703
0,15,Kang,0.32411904761904764
0,15,Lim,0.2447380952380952
0,15,Ko,0.1453809523809524
0,16,Lee,0.2894285714285714
0,16,Shin,0.5418571428571428
0,16,Kang,0.3927619047619048
0,16,Lim,0.20516666666666672
0,16,Ko,0.16288095238095238
0,17,Lee,0.40109523809523817
0,17,Shin,0.4743095238095238
0,17,Kang,0.3314761904761906
0,17,Lim,0.2162142857142857
0,17,Ko,0.11166666666666666
0,18,Lee,0.42819047619047607
0,18,Shin,0.4593571428571429
0,18,Kang,0.37011904761904757
0,18,Lim,0.1942142857142857
0,18,Ko,0.14166666666666666
0,19,Lee,0.2843571428571429
0,19,Shin,0.5453095238095238
0,19,Kang,0.3197619047619049
0,19,Lim,0.22326190476190483
0,19,Ko,0.17261904761904762
0,20,Lee,0.34804761904761905
0,20,Shin,0.5438809523809524
0,20,Kang,0.3141190476190477
0,20,Lim,0.19685714285714287
0,20,Ko,0.1312142857142857
0,21,Lee,0.2974285714285715
0,21,Shin,0.5716428571428571
0,21,Kang,0.29473809523809535
0,21,Lim,0.21088095238095242
0,21,Ko,0.16338095238095238
0,22,Lee,0.3533095238095239
0,22,Shin,0.5898095238095238
0,22,Kang,0.3083809523809525
0,22,Lim,0.18226190476190474
0,22,Ko,0.15883333333333333
0,23,Lee,0.35814285714285715
0,23,Shin,0.5932142857142856
0,23,Kang,0.34054761904761915
0,23,Lim,0.2175
0,23,Ko,0.13428571428571429
0,24,Lee,0.34780952380952385
0,24,Shin,0.5297619047619048
0,24,Kang,0.3420000000000001
0,24,Lim,0.2076666666666667
0,24,Ko,0.11416666666666667
0,25,Lee,0.39964285714285713
0,25,Shin,0.5342380952380953
0,25,Kang,0.3207142857142858
0,25,Lim,0.20992857142857146
0,25,Ko,0.125
0,26,Lee,0.3409285714285714
0,26,Shin,0.6777142857142856
0,26,Kang,0.34311904761904755
0,26,Lim,0.1881666666666667
0,26,Ko,0.13992857142857143
0,27,Lee,0.39680952380952383
0,27,Shin,0.598404761904762
0,27,Kang,0.31402380952380965
0,27,Lim,0.17407142857142854
0,27,Ko,0.11821428571428572
0,28,Lee,0.37307142857142866
0,28,Shin,0.6150476190476192
0,28,Kang,0.32002380952380965
0,28,Lim,0.17014285714285712
0,28,Ko,0.1407142857142857
0,29,Lee,0.43023809523809525
0,29,Shin,0.5852142857142857
0,29,Kang,0.3073809523809525
0,29,Lim,0.17957142857142855
0,29,Ko,0.12142857142857143
0,30,Lee,0.37597619047619046
0,30,Shin,0.6453809523809524
0,30,Kang,0.27383333333333343
0,30,Lim,0.18945238095238096
0,30,Ko,0.1369285714285714
0,31,Lee,0.35980952380952386
0,31,Shin,0.6873333333333334
0,31,Kang,0.3156428571428572
0,31,Lim,0.1848095238095238
0,31,Ko,0.13933333333333334
0,32,Lee,0.42999999999999994
0,32,Shin,0.6283809523809525
0,32,Kang,0.2998333333333335
0,32,Lim,0.1708095238095238
0,32,Ko,0.13154761904761905
0,33,Lee,0.40909523809523807
0,33,Shin,0.6257142857142859
0,33,Kang,0.289904761904762
0,33,Lim,0.16085714285714287
0,33,Ko,0.14416666666666667
0,34,Lee,0.3727857142857143
0,34,Shin,0.7011666666666667
0,34,Kang,0.3034761904761907
0,34,Lim,0.15976190476190474
0,34,Ko,0.13476190476190475
0,35,Lee,0.4555952380952381
0,35,Shin,0.6356666666666665
0,35,Kang,0.2970476190476191
0,35,Lim,0.1675
0,35,Ko,0.13666666666666666
0,36,Lee,0.4596190476190474
0,36,Shin,0.6940952380952381
0,36,Kang,0.2900952380952382
0,36,Lim,0.1650238095238095
0,36,Ko,0.13888095238095238
0,37,Lee,0.4240714285714285
0,37,Shin,0.6433333333333334
0,37,Kang,0.2756666666666667
0,37,Lim,0.19192857142857142
0,37,Ko,0.13216666666666665
0,38,Lee,0.44164285714285706
0,38,Shin,0.6696666666666665
0,38,Kang,0.19840476190476194
0,38,Lim,0.20242857142857143
0,38,Ko,0.19573809523809524
0,39,Lee,0.45490476190476203
0,39,Shin,0.6535
0,39,Kang,0.19638095238095243
0,39,Lim,0.2036428571428572
0,39,Ko,0.19002380952380948
1,0,Lee,0.1675
1,0,Shin,0.5914999999999999
1,0,Kang,0.44876190476190475
1,0,Lim,0.22364285714285717
1,0,Ko,0.17761904761904762
1,1,Lee,0.14809523809523809
1,1,Shin,0.5665476190476191
1,1,Kang,0.3721666666666667
1,1,Lim,0.40976190476190466
1,1,Ko,0.128
1,2,Lee,0.1428809523809524
1,2,Shin,0.5487142857142857
1,2,Kang,0.40150000000000013
1,2,Lim,0.3556904761904762
1,2,Ko,0.1375
1,3,Lee,0.14607142857142857
1,3,Shin,0.5713809523809524
1,3,Kang,0.37945238095238104
1,3,Lim,0.30278571428571444
1,3,Ko,0.16738095238095238
1,4,Lee,0.23066666666666666
1,4,Shin,0.5908809523809524
1,4,Kang,0.4171428571428571
1,4,Lim,0.27519047619047626
1,4,Ko,0.12
1,5,Lee,0.22254761904761908
1,5,Shin,0.5447619047619046
1,5,Kang,0.3462857142857142
1,5,Lim,0.2690476190476191
1,5,Ko,0.16016666666666665
1,6,Lee,0.21314285714285716
1,6,Shin,0.5673571428571429
1,6,Kang,0.38276190476190464
1,6,Lim,0.2891428571428573
1,6,Ko,0.125
1,7,Lee,0.20502380952380952
1,7,Shin,0.5765714285714286
1,7,Kang,0.36859523809523814
1,7,Lim,0.25828571428571445
1,7,Ko,0.125
1,8,Lee,0.23340476190476192
1,8,Shin,0.5655714285714286
1,8,Kang,0.3597380952380953
1,8,Lim,0.23902380952380953
1,8,Ko,0.10988095238095237
1,9,Lee,0.2505714285714286
1,9,Shin,0.5377380952380952
1,9,Kang,0.3583095238095239
1,9,Lim,0.2873333333333334
1,9,Ko,0.11371428571428571
1,10,Lee,0.23945238095238097
1,10,Shin,0.5588095238095238
1,10,Kang,0.35276190476190483
1,10,Lim,0.25745238095238104
1,10,Ko,0.14559523809523808
1,11,Lee,0.25442857142857145
1,11,Shin,0.6198333333333332
1,11,Kang,0.3201666666666668
1,11,Lim,0.2757619047619048
1,11,Ko,0.12071428571428572
1,12,Lee,0.21561904761904768
1,12,Shin,0.5655714285714286
1,12,Kang,0.3453571428571429
1,12,Lim,0.2693333333333334
1,12,Ko,0.1305952380952381
1,13,Lee,0.2456666666666667
1,13,Shin,0.5120952380952382
1,13,Kang,0.35240476190476194
1,13,Lim,0.26140476190476203
1,13,Ko,0.12071428571428572
1,14,Lee,0.2749285714285715
1,14,Shin,0.5542619047619046
1,14,Kang,0.35557142857142865
1,14,Lim,0.23626190476190476
1,14,Ko,0.14083333333333334
1,15,Lee,0.270404761904762
1,15,Shin,0.555404761904762
1,15,Kang,0.320904761904762
1,15,Lim,0.23228571428571432
1,15,Ko,0.1330952380952381
1,16,Lee,0.2825238095238095
1,16,Shin,0.5690238095238095
1,16,Kang,0.37290476190476196
1,16,Lim,0.25402380952380965
1,16,Ko,0.0875
1,17,Lee,0.3357380952380954
1,17,Shin,0.5284047619047619
1,17,Kang,0.3340238095238096
1,17,Lim,0.26761904761904765
1,17,Ko,0.11083333333333334
1,18,Lee,0.3807380952380953
1,18,Shin,0.5514761904761903
1,18,Kang,0.2916190476190477
1,18,Lim,0.2835952380952382
1,18,Ko,0.08357142857142857
1,19,Lee,0.3898571428571429
1,19,Shin,0.5118809523809523
1,19,Kang,0.3165000000000001
1,19,Lim,0.26576190476190487
1,19,Ko,0.10142857142857142
1,20,Lee,0.3838333333333334
1,20,Shin,0.504452380952381
1,20,Kang,0.3203571428571429
1,20,Lim,0.24730952380952384
1,20,Ko,0.10833333333333332
1,21,Lee,0.35078571428571437
1,21,Shin,0.5703809523809524
1,21,Kang,0.30557142857142866
1,21,Lim,0.20561904761904767
1,21,Ko,0.1339285714285714
1,22,Lee,0.4444761904761904
1,22,Shin,0.5770476190476191
1,22,Kang,0.32242857142857156
1,22,Lim,0.20338095238095238
1,22,Ko,0.10833333333333332
1,23,Lee,0.3878333333333333
1,23,Shin,0.6122142857142857
1,23,Kang,0.29171428571428576
1,23,Lim,0.21640476190476193
1,23,Ko,0.11404761904761905
