Run,Step,Agent,Reward
1,6,Kang,1.12
1,6,Lim,0.74
1,6,Ko,0.48
1,7,Lee,0.74
1,7,Shin,1.04
1,7,Kang,1.0
1,7,Lim,0.82
1,7,Ko,0.56
1,8,Lee,0.84
1,8,Shin,1.02
1,8,Kang,0.94
1,8,Lim,0.76
1,8,Ko,0.46
1,9,Lee,0.98
1,9,Shin,0.92
1,9,Kang,0.86
1,9,Lim,0.8
1,9,Ko,0.4
1,10,Lee,0.84
1,10,Shin,1.02
1,10,Kang,1.02
1,10,Lim,0.96
1,10,Ko,0.62
1,11,Lee,0.94
1,11,Shin,1.1
1,11,Kang,0.88
1,11,Lim,0.98
1,11,Ko,0.38
1,12,Lee,0.74
1,12,Shin,1.08
1,12,Kang,1.08
1,12,Lim,0.78
1,12,Ko,0.4
1,13,Lee,1.1
1,13,Shin,0.94
1,13,Kang,1.04
1,13,Lim,0.74
1,13,Ko,0.4
1,14,Lee,1.02
1,14,Shin,0.96
1,14,Kang,0.86
1,14,Lim,0.78
1,14,Ko,0.4
1,15,Lee,1.02
1,15,Shin,1.0
1,15,Kang,1.08
1,15,Lim,0.88
1,15,Ko,0.44
1,16,Lee,1.16
1,16,Shin,0.94
1,16,Kang,0.86
1,16,Lim,0.72
1,16,Ko,0.36
1,17,Lee,1.2
1,17,Shin,1.02
1,17,Kang,0.98
1,17,Lim,0.9
1,17,Ko,0.38
1,18,Lee,1.16
1,18,Shin,1.1
1,18,Kang,0.82
1,18,Lim,0.7
1,18,Ko,0.4
1,19,Lee,1.26
1,19,Shin,0.94
1,19,Kang,0.8
1,19,Lim,0.94
1,19,Ko,0.4
1,20,Lee,1.28
1,20,Shin,0.96
1,20,Kang,1.0
1,20,Lim,0.86
1,20,Ko,0.48
1,21,Lee,1.14
1,21,Shin,0.94
1,21,Kang,0.98
1,21,Lim,0.58
1,21,Ko,0.44
1,22,Lee,1.14
1,22,Shin,1.08
1,22,Kang,0.78
1,22,Lim,0.78
1,22,Ko,0.38
1,23,Lee,1.1
1,23,Shin,1.12
1,23,Kang,1.04
1,23,Lim,0.72
1,23,Ko,0.44
1,24,Lee,1.22
1,24,Shin,1.1
1,24,Kang,0.98
1,24,Lim,0.76
1,24,Ko,0.32
1,25,Lee,1.2
1,25,Shin,1.06
1,25,Kang,0.82
1,25,Lim,0.72
1,25,Ko,0.52
1,26,Lee,1.26
1,26,Shin,0.96
1,26,Kang,0.88
1,26,Lim,0.8
1,26,Ko,0.66
1,27,Lee,1.22
1,27,Shin,0.94
1,27,Kang,0.96
1,27,Lim,0.76
1,27,Ko,0.38
1,28,Lee,1.38
1,28,Shin,0.98
1,28,Kang,0.92
1,28,Lim,0.68
1,28,Ko,0.64
1,29,Lee,1.14
1,29,Shin,0.98
1,29,Kang,0.98
1,29,Lim,0.72
1,29,Ko,0.52
1,30,Lee,1.24
1,30,Shin,1.08
1,30,Kang,1.0
1,30,Lim,0.68
1,30,Ko,0.54
1,31,Lee,1.38
1,31,Shin,1.08
1,31,Kang,0.96
1,31,Lim,0.74
1,31,Ko,0.42
1,32,Lee,1.22
1,32,Shin,0.88
1,32,Kang,1.12
1,32,Lim,0.86
1,32,Ko,0.32
1,33,Lee,1.34
1,33,Shin,0.96
1,33,Kang,0.86
1,33,Lim,0.68
1,33,Ko,0.5
1,34,Lee,1.16
1,34,Shin,1.18
1,34,Kang,1.02
1,34,Lim,0.54
1,34,Ko,0.44
1,35,Lee,1.22
1,35,Shin,1.22
1,35,Kang,0.92
1,35,Lim,0.68
1,35,Ko,0.56
1,36,Lee,1.14
1,36,Shin,1.18
1,36,Kang,1.02
1,36,Lim,0.62
1,36,Ko,0.5
1,37,Lee,1.34
1,37,Shin,1.2
1,37,Kang,0.94
1,37,Lim,0.66
1,37,Ko,0.54
1,38,Lee,1.38
1,38,Shin,1.2
1,38,Kang,0.86
1,38,Lim,0.74
1,38,Ko,0.52
1,39,Lee,1.28
1,39,Shin,1.18
1,39,Kang,0.98
1,39,Lim,0.84
1,39,Ko,0.62
2,0,Lee,0.58
2,0,Shin,1.14
2,0,Kang,0.66
2,0,Lim,0.78
2,0,Ko,0.8
2,1,Lee,0.54
2,1,Shin,0.82
2,1,Kang,0.84
2,1,Lim,1.0
2,1,Ko,0.62
2,2,Lee,0.68
2,2,Shin,0.78
2,2,Kang,0.92
2,2,Lim,0.94
2,2,Ko,0.52
2,3,Lee,0.72
2,3,Shin,0.96
2,3,Kang,0.86
2,3,Lim,0.86
2,3,Ko,0.42
2,4,Lee,0.7
2,4,Shin,0.8
2,4,Kang,1.06
2,4,Lim,0.68
2,4,Ko,0.46
2,5,Lee,0.84
2,5,Shin,1.08
2,5,Kang,1.08
2,5,Lim,0.92
2,5,Ko,0.5
2,6,Lee,0.66
2,6,Shin,0.92
2,6,Kang,0.92
2,6,Lim,0.96
2,6,Ko,0.5
2,7,Lee,0.68
2,7,Shin,1.04
2,7,Kang,0.78
2,7,Lim,0.94
2,7,Ko,0.6
2,8,Lee,0.82
2,8,Shin,1.04
2,8,Kang,0.86
2,8,Lim,0.72
2,8,Ko,0.62
2,9,Lee,0.96
2,9,Shin,1.08
2,9,Kang,0.76
2,9,Lim,0.72
2,9,Ko,0.54
2,10,Lee,0.98
2,10,Shin,0.9
2,10,Kang,0.96
2,10,Lim,0.68
2,10,Ko,0.5
2,11,Lee,1.02
2,11,Shin,1.06
2,11,Kang,0.96
2,11,Lim,0.86
2,11,Ko,0.46
2,12,Lee,1.06
2,12,Shin,0.86
2,12,Kang,0.96
2,12,Lim,0.86
2,12,Ko,0.44
2,13,Lee,0.88
2,13,Shin,0.94
2,13,Kang,0.92
2,13,Lim,0.76
2,13,Ko,0.6
2,14,Lee,0.92
2,14,Shin,0.88
2,14,Kang,0.96
2,14,Lim,0.56
2,14,Ko,0.68
2,15,Lee,1.08
2,15,Shin,0.9
2,15,Kang,1.08
2,15,Lim,0.86
2,15,Ko,0.38
2,16,Lee,0.9
2,16,Shin,0.98
2,16,Kang,0.94
2,16,Lim,0.9
2,16,Ko,0.42
2,17,Lee,0.92
2,17,Shin,0.96
2,17,Kang,0.74
2,17,Lim,0.7
2,17,Ko,0.7
2,18,Lee,1.02
2,18,Shin,1.06
2,18,Kang,0.92
2,18,Lim,0.7
2,18,Ko,0.54
2,19,Lee,1.08
2,19,Shin,1.04
2,19,Kang,0.86
2,19,Lim,0.64
2,19,Ko,0.4
2,20,Lee,0.98
2,20,Shin,0.88
2,20,Kang,1.06
2,20,Lim,0.64
2,20,Ko,0.54
2,21,Lee,0.9
2,21,Shin,1.12
2,21,Kang,1.22
2,21,Lim,0.74
2,21,Ko,0.46
2,22,Lee,1.16
2,22,Shin,1.26
2,22,Kang,1.04
2,22,Lim,0.72
2,22,Ko,0.52
2,23,Lee,1.26
2,23,Shin,1.24
2,23,Kang,0.84
2,23,Lim,0.64
2,23,Ko,0.58
2,24,Lee,1.36
2,24,Shin,1.2
2,24,Kang,0.94
2,24,Lim,0.74
2,24,Ko,0.48
2,25,Lee,1.22
2,25,Shin,1.1
2,25,Kang,1.02
2,25,Lim,0.6
2,25,Ko,0.46
2,26,Lee,0.88
2,26,Shin,1.08
2,26,Kang,0.92
2,26,Lim,0.48
2,26,Ko,0.5
2,27,Lee,1.16
2,27,Shin,1.02
2,27,Kang,0.96
2,27,Lim,0.54
2,27,Ko,0.5
2,28,Lee,1.16
2,28,Shin,1.2
2,28,Kang,0.9
2,28,Lim,0.6
2,28,Ko,0.54
2,29,Lee,1.26
2,29,Shin,1.12
2,29,Kang,0.92
2,29,Lim,0.66
2,29,Ko,0.4
2,30,Lee,1.14
2,30,Shin,1.06
2,30,Kang,0.82
2,30,Lim,0.64
2,30,Ko,0.5
2,31,Lee,1.36
2,31,Shin,1.1
2,31,Kang,0.78
2,31,Lim,0.64
2,31,Ko,0.56
2,32,Lee,1.34
2,32,Shin,1.24
2,32,Kang,1.1
2,32,Lim,0.64
2,32,Ko,0.52
2,33,Lee,1.12
2,33,Shin,1.1
2,33,Kang,1.04
2,33,Lim,0.7
2,33,Ko,0.4
2,34,Lee,1.26
2,34,Shin,1.1
2,34,Kang,1.18
2,34,Lim,0.6
2,34,Ko,0.42
2,35,Lee,1.08
2,35,Shin,1.2
2,35,Kang,0.98
2,35,Lim,0.56
2,35,Ko,0.3
2,36,Lee,1.14
2,36,Shin,1.18
2,36,Kang,1.08
2,36,Lim,0.56
2,36,Ko,0.46
2,37,Lee,1.28
2,37,Shin,1.14
2,37,Kang,0.92
2,37,Lim,0.58
