Run,Step,Agent,Reward
0,0,Lee,0.0
0,0,Shin,0.56
0,0,Kang,0.9
0,0,Lim,1.28
0,0,Ko,1.14
0,1,Lee,0.0
0,1,Shin,0.5
0,1,Kang,0.96
0,1,Lim,1.4
0,1,Ko,1.14
0,2,Lee,0.0
0,2,Shin,0.76
0,2,Kang,1.28
0,2,Lim,1.16
0,2,Ko,0.94
0,3,Lee,0.0
0,3,Shin,0.48
0,3,Kang,1.0
0,3,Lim,1.38
0,3,Ko,1.1
0,4,Lee,0.0
0,4,Shin,0.74
0,4,Kang,0.92
0,4,Lim,1.0
0,4,Ko,1.22
0,5,Lee,0.0
0,5,Shin,0.64
0,5,Kang,0.92
0,5,Lim,1.1
0,5,Ko,1.24
0,6,Lee,0.0
0,6,Shin,0.48
0,6,Kang,1.24
0,6,Lim,1.16
0,6,Ko,1.08
0,7,Lee,0.0
0,7,Shin,0.6
0,7,Kang,1.26
0,7,Lim,1.46
0,7,Ko,0.94
0,8,Lee,0.0
0,8,Shin,0.56
0,8,Kang,0.98
0,8,Lim,1.36
0,8,Ko,1.16
0,9,Lee,0.0
0,9,Shin,0.62
0,9,Kang,1.04
0,9,Lim,1.24
0,9,Ko,1.22
0,10,Lee,0.0
0,10,Shin,0.4
0,10,Kang,1.26
0,10,Lim,1.18
0,10,Ko,1.16
0,11,Lee,0.0
0,11,Shin,0.26
0,11,Kang,1.24
0,11,Lim,1.22
0,11,Ko,1.42
0,12,Lee,0.0
0,12,Shin,0.42
0,12,Kang,1.2
0,12,Lim,1.26
0,12,Ko,1.32
0,13,Lee,0.0
0,13,Shin,0.22
0,13,Kang,1.14
0,13,Lim,1.34
0,13,Ko,1.48
0,14,Lee,0.0
0,14,Shin,0.28
0,14,Kang,1.04
0,14,Lim,1.1
0,14,Ko,1.56
0,15,Lee,0.0
0,15,Shin,0.34
0,15,Kang,1.0
0,15,Lim,0.94
0,15,Ko,1.38
0,16,Lee,0.0
0,16,Shin,0.16
0,16,Kang,1.08
0,16,Lim,1.1
0,16,Ko,1.52
0,17,Lee,0.0
0,17,Shin,0.4
0,17,Kang,0.98
0,17,Lim,1.04
0,17,Ko,1.48
0,18,Lee,0.0
0,18,Shin,0.36
0,18,Kang,0.98
0,18,Lim,1.32
0,18,Ko,1.56
0,19,Lee,0.0
0,19,Shin,0.32
0,19,Kang,0.88
0,19,Lim,1.3
0,19,Ko,1.5
0,20,Lee,0.0
0,20,Shin,0.24
0,20,Kang,1.14
0,20,Lim,1.16
0,20,Ko,1.66
0,21,Lee,0.0
0,21,Shin,0.3
0,21,Kang,0.94
0,21,Lim,1.1
0,21,Ko,1.84
0,22,Lee,0.0
0,22,Shin,0.14
0,22,Kang,0.94
0,22,Lim,1.18
0,22,Ko,1.7
