Run,Step,Agent,Episode Length
0,0,Lee,8.0
0,0,Shin,8.0
0,0,Kang,6.58
0,0,Lim,7.7
0,0,Ko,7.42
0,1,Lee,8.0
0,1,Shin,8.0
0,1,Kang,4.3
0,1,Lim,7.7
0,1,Ko,6.4
0,2,Lee,8.0
0,2,Shin,8.0
0,2,Kang,4.48
0,2,Lim,7.8
0,2,Ko,5.74
0,3,Lee,8.0
0,3,Shin,8.0
0,3,Kang,4.34
0,3,Lim,7.88
0,3,Ko,7.28
0,4,Lee,8.0
0,4,Shin,8.0
0,4,Kang,4.44
0,4,Lim,7.8
0,4,Ko,7.12
0,5,Lee,8.0
0,5,Shin,8.0
0,5,Kang,4.56
0,5,Lim,7.7
0,5,Ko,6.76
0,6,Lee,8.0
0,6,Shin,8.0
0,6,Kang,4.98
0,6,Lim,7.8
0,6,Ko,6.84
0,7,Lee,8.0
0,7,Shin,8.0
0,7,Kang,4.62
0,7,Lim,7.76
0,7,Ko,7.4
0,8,Lee,8.0
0,8,Shin,8.0
0,8,Kang,4.78
0,8,Lim,7.72
0,8,Ko,7.64
0,9,Lee,8.0
0,9,Shin,8.0
0,9,Kang,5.14
0,9,Lim,7.9
0,9,Ko,7.54
0,10,Lee,8.0
0,10,Shin,8.0
0,10,Kang,5.22
0,10,Lim,7.74
0,10,Ko,7.66
0,11,Lee,8.0
0,11,Shin,8.0
0,11,Kang,5.28
0,11,Lim,7.82
0,11,Ko,7.54
0,12,Lee,8.0
0,12,Shin,8.0
0,12,Kang,4.62
0,12,Lim,7.68
0,12,Ko,7.56
0,13,Lee,8.0
0,13,Shin,8.0
0,13,Kang,5.44
0,13,Lim,7.62
0,13,Ko,7.8
0,14,Lee,8.0
0,14,Shin,8.0
0,14,Kang,5.9
0,14,Lim,7.76
0,14,Ko,7.8
0,15,Lee,8.0
0,15,Shin,8.0
0,15,Kang,5.92
0,15,Lim,7.7
0,15,Ko,7.72
0,16,Lee,8.0
0,16,Shin,8.0
0,16,Kang,5.12
0,16,Lim,7.86
0,16,Ko,7.84
0,17,Lee,8.0
0,17,Shin,8.0
0,17,Kang,6.24
0,17,Lim,7.94
0,17,Ko,7.68
0,18,Lee,8.0
0,18,Shin,8.0
0,18,Kang,5.98
0,18,Lim,7.9
0,18,Ko,7.8
0,19,Lee,8.0
0,19,Shin,8.0
0,19,Kang,5.28
0,19,Lim,7.84
0,19,Ko,7.74
0,20,Lee,8.0
0,20,Shin,8.0
0,20,Kang,5.6
0,20,Lim,7.92
0,20,Ko,7.8
0,21,Lee,8.0
0,21,Shin,8.0
0,21,Kang,5.76
0,21,Lim,7.8
0,21,Ko,7.94
0,22,Lee,8.0
0,22,Shin,8.0
0,22,Kang,6.54
0,22,Lim,7.84
0,22,Ko,7.84
0,23,Lee,8.0
0,23,Shin,8.0
0,23,Kang,6.76
0,23,Lim,7.76
0,23,Ko,7.86
0,24,Lee,8.0
0,24,Shin,8.0
0,24,Kang,6.38
0,24,Lim,7.82
0,24,Ko,7.94
0,25,Lee,8.0
0,25,Shin,8.0
0,25,Kang,6.0
0,25,Lim,7.6
0,25,Ko,7.82
0,26,Lee,8.0
0,26,Shin,8.0
0,26,Kang,5.98
0,26,Lim,7.58
0,26,Ko,7.94
0,27,Lee,8.0
0,27,Shin,8.0
0,27,Kang,6.28
0,27,Lim,7.7
0,27,Ko,7.94
0,28,Lee,8.0
0,28,Shin,8.0
0,28,Kang,6.08
0,28,Lim,7.68
0,28,Ko,7.96
0,29,Lee,8.0
0,29,Shin,8.0
0,29,Kang,6.28
0,29,Lim,7.68
0,29,Ko,7.98
0,30,Lee,8.0
0,30,Shin,8.0
0,30,Kang,6.38
0,30,Lim,7.54
0,30,Ko,7.94
0,31,Lee,8.0
0,31,Shin,8.0
0,31,Kang,6.34
0,31,Lim,7.7
0,31,Ko,7.92
0,32,Lee,8.0
0,32,Shin,8.0
0,32,Kang,6.12
0,32,Lim,7.58
0,32,Ko,7.94
0,33,Lee,8.0
0,33,Shin,8.0
0,33,Kang,6.32
0,33,Lim,7.8
0,33,Ko,7.96
0,34,Lee,8.0
0,34,Shin,8.0
0,34,Kang,6.22
0,34,Lim,7.6
0,34,Ko,7.94
0,35,Lee,8.0
0,35,Shin,8.0
0,35,Kang,6.16
0,35,Lim,7.48
0,35,Ko,8.0
0,36,Lee,8.0
0,36,Shin,8.0
0,36,Kang,6.68
0,36,Lim,7.78
0,36,Ko,7.96
0,37,Lee,8.0
0,37,Shin,8.0
0,37,Kang,5.8
0,37,Lim,7.52
0,37,Ko,8.0
0,38,Lee,8.0
0,38,Shin,8.0
0,38,Kang,6.16
0,38,Lim,7.62
0,38,Ko,7.98
0,39,Lee,8.0
0,39,Shin,8.0
0,39,Kang,5.92
0,39,Lim,7.82
0,39,Ko,7.96
1,0,Lee,8.0
1,0,Shin,8.0
1,0,Kang,5.4
1,0,Lim,7.56
1,0,Ko,7.58
1,1,Lee,8.0
1,1,Shin,8.0
1,1,Kang,4.36
1,1,Lim,7.74
1,1,Ko,6.98
1,2,Lee,8.0
1,2,Shin,8.0
1,2,Kang,4.12
1,2,Lim,7.84
1,2,Ko,6.28
1,3,Lee,8.0
1,3,Shin,8.0
1,3,Kang,4.4
1,3,Lim,7.8
1,3,Ko,6.72
1,4,Lee,8.0
1,4,Shin,8.0
1,4,Kang,4.86
1,4,Lim,7.74
1,4,Ko,6.92
1,5,Lee,8.0
1,5,Shin,8.0
1,5,Kang,4.76
1,5,Lim,7.8
1,5,Ko,7.22
1,6,Lee,8.0
1,6,Shin,8.0
1,6,Kang,4.96
1,6,Lim,7.82
1,6,Ko,7.26
1,7,Lee,8.0
1,7,Shin,8.0
1,7,Kang,4.36
1,7,Lim,7.7
1,7,Ko,7.32
1,8,Lee,8.0
1,8,Shin,8.0
1,8,Kang,5.2
1,8,Lim,7.82
1,8,Ko,7.4
1,9,Lee,8.0
1,9,Shin,8.0
1,9,Kang,5.64
1,9,Lim,7.7
1,9,Ko,7.48
1,10,Lee,8.0
1,10,Shin,8.0
1,10,Kang,5.18
1,10,Lim,7.6
1,10,Ko,7.46
1,11,Lee,8.0
1,11,Shin,8.0
1,11,Kang,5.0
1,11,Lim,7.66
1,11,Ko,7.64
1,12,Lee,8.0
1,12,Shin,8.0
1,12,Kang,4.9
1,12,Lim,7.7
1,12,Ko,7.5
1,13,Lee,8.0
1,13,Shin,8.0
1,13,Kang,4.9
1,13,Lim,7.5
1,13,Ko,7.5
1,14,Lee,8.0
1,14,Shin,8.0
1,14,Kang,5.34
