Run,Step,Agent,Reward
0,46,Kang,0.96
0,46,Lim,0.64
0,46,Ko,0.88
0,47,Lee,0.76
0,47,Shin,0.06
0,47,Kang,1.04
0,47,Lim,0.54
0,47,Ko,0.8
0,48,Lee,0.8
0,48,Shin,0.0
0,48,Kang,0.8
0,48,Lim,0.48
0,48,Ko,0.92
0,49,Lee,0.74
0,49,Shin,0.0
0,49,Kang,0.72
0,49,Lim,0.72
0,49,Ko,0.78
0,50,Lee,0.54
0,50,Shin,0.0
0,50,Kang,1.04
0,50,Lim,0.8
0,50,Ko,0.8
0,51,Lee,0.72
0,51,Shin,0.02
0,51,Kang,0.84
0,51,Lim,0.46
0,51,Ko,0.9
0,52,Lee,0.7
0,52,Shin,0.0
0,52,Kang,1.02
0,52,Lim,0.56
0,52,Ko,0.82
0,53,Lee,0.64
0,53,Shin,0.06
0,53,Kang,0.92
0,53,Lim,0.62
0,53,Ko,0.82
0,54,Lee,0.72
0,54,Shin,0.02
0,54,Kang,0.86
0,54,Lim,0.66
0,54,Ko,0.78
0,55,Lee,0.46
0,55,Shin,0.02
0,55,Kang,0.9
0,55,Lim,0.72
0,55,Ko,0.72
0,56,Lee,0.7
0,56,Shin,0.02
0,56,Kang,0.8
0,56,Lim,0.48
0,56,Ko,0.86
0,57,Lee,0.64
0,57,Shin,0.04
0,57,Kang,1.02
0,57,Lim,0.48
0,57,Ko,0.82
0,58,Lee,0.72
0,58,Shin,0.02
0,58,Kang,1.0
0,58,Lim,0.52
0,58,Ko,0.78
0,59,Lee,0.54
0,59,Shin,0.02
0,59,Kang,1.2
0,59,Lim,0.68
0,59,Ko,0.8
1,0,Lee,0.44
1,0,Shin,0.28
1,0,Kang,0.8
1,0,Lim,0.78
1,0,Ko,0.48
1,1,Lee,0.6
1,1,Shin,0.06
1,1,Kang,0.9
1,1,Lim,0.44
1,1,Ko,0.8
1,2,Lee,0.48
1,2,Shin,0.14
1,2,Kang,0.86
1,2,Lim,0.62
1,2,Ko,0.8
1,3,Lee,0.6
1,3,Shin,0.08
1,3,Kang,1.1
1,3,Lim,0.58
1,3,Ko,0.62
1,4,Lee,0.48
1,4,Shin,0.16
1,4,Kang,0.86
1,4,Lim,0.48
1,4,Ko,0.72
1,5,Lee,0.86
1,5,Shin,0.16
1,5,Kang,0.92
1,5,Lim,0.44
1,5,Ko,0.8
1,6,Lee,0.6
1,6,Shin,0.16
1,6,Kang,1.02
1,6,Lim,0.46
1,6,Ko,0.72
1,7,Lee,0.78
1,7,Shin,0.04
1,7,Kang,1.06
1,7,Lim,0.5
1,7,Ko,0.74
1,8,Lee,0.56
1,8,Shin,0.12
1,8,Kang,0.9
1,8,Lim,0.56
1,8,Ko,0.6
1,9,Lee,0.5
1,9,Shin,0.02
1,9,Kang,0.88
1,9,Lim,0.32
1,9,Ko,0.88
1,10,Lee,0.62
1,10,Shin,0.18
1,10,Kang,0.98
1,10,Lim,0.58
1,10,Ko,0.7
1,11,Lee,0.52
1,11,Shin,0.14
1,11,Kang,1.04
1,11,Lim,0.4
1,11,Ko,0.68
1,12,Lee,0.48
1,12,Shin,0.22
1,12,Kang,0.84
1,12,Lim,0.56
1,12,Ko,0.84
1,13,Lee,0.54
1,13,Shin,0.06
1,13,Kang,1.0
1,13,Lim,0.48
1,13,Ko,0.8
1,14,Lee,0.56
1,14,Shin,0.08
1,14,Kang,0.94
1,14,Lim,0.56
1,14,Ko,0.76
1,15,Lee,0.64
1,15,Shin,0.04
1,15,Kang,0.9
1,15,Lim,0.44
1,15,Ko,0.78
1,16,Lee,0.48
1,16,Shin,0.04
1,16,Kang,1.0
1,16,Lim,0.6
1,16,Ko,0.78
1,17,Lee,0.66
1,17,Shin,0.04
1,17,Kang,0.92
1,17,Lim,0.48
1,17,Ko,0.88
1,18,Lee,0.78
1,18,Shin,0.04
1,18,Kang,0.94
1,18,Lim,0.5
1,18,Ko,0.8
1,19,Lee,0.4
1,19,Shin,0.1
1,19,Kang,1.06
1,19,Lim,0.64
1,19,Ko,0.7
1,20,Lee,0.54
1,20,Shin,0.06
1,20,Kang,1.06
1,20,Lim,0.48
1,20,Ko,0.64
1,21,Lee,0.64
1,21,Shin,0.0
1,21,Kang,1.0
1,21,Lim,0.62
1,21,Ko,0.76
1,22,Lee,0.74
1,22,Shin,0.0
1,22,Kang,0.88
1,22,Lim,0.6
1,22,Ko,0.8
1,23,Lee,0.9
1,23,Shin,0.04
1,23,Kang,0.8
1,23,Lim,0.52
1,23,Ko,0.9
1,24,Lee,0.7
1,24,Shin,0.06
1,24,Kang,1.06
1,24,Lim,0.46
1,24,Ko,0.92
1,25,Lee,0.7
1,25,Shin,0.14
1,25,Kang,1.04
1,25,Lim,0.66
1,25,Ko,0.78
1,26,Lee,0.9
1,26,Shin,0.0
1,26,Kang,0.62
1,26,Lim,0.58
1,26,Ko,0.92
1,27,Lee,0.66
1,27,Shin,0.02
1,27,Kang,0.86
1,27,Lim,0.48
1,27,Ko,0.84
1,28,Lee,0.64
1,28,Shin,0.08
1,28,Kang,0.92
1,28,Lim,0.64
1,28,Ko,0.8
1,29,Lee,0.6
1,29,Shin,0.0
1,29,Kang,0.82
1,29,Lim,0.66
1,29,Ko,0.86
1,30,Lee,0.32
1,30,Shin,0.06
1,30,Kang,0.94
1,30,Lim,0.62
1,30,Ko,0.78
1,31,Lee,0.62
1,31,Shin,0.06
1,31,Kang,1.08
1,31,Lim,0.62
1,31,Ko,0.76
1,32,Lee,0.44
1,32,Shin,0.06
1,32,Kang,1.1
1,32,Lim,0.7
1,32,Ko,0.66
1,33,Lee,0.52
1,33,Shin,0.04
1,33,Kang,0.94
1,33,Lim,0.64
1,33,Ko,0.7
1,34,Lee,0.62
1,34,Shin,0.08
1,34,Kang,0.84
1,34,Lim,0.64
1,34,Ko,0.86
1,35,Lee,0.7
1,35,Shin,0.02
1,35,Kang,0.84
1,35,Lim,0.5
1,35,Ko,0.88
1,36,Lee,0.66
1,36,Shin,0.04
1,36,Kang,0.82
1,36,Lim,0.76
1,36,Ko,0.74
1,37,Lee,0.62
1,37,Shin,0.04
1,37,Kang,0.84
1,37,Lim,0.78
1,37,Ko,0.82
1,38,Lee,0.72
1,38,Shin,0.02
1,38,Kang,0.6
1,38,Lim,0.7
1,38,Ko,0.82
1,39,Lee,0.68
1,39,Shin,0.04
1,39,Kang,1.12
1,39,Lim,0.66
1,39,Ko,0.82
1,40,Lee,0.56
1,40,Shin,0.04
1,40,Kang,0.96
1,40,Lim,0.72
1,40,Ko,0.76
1,41,Lee,0.64
1,41,Shin,0.04
1,41,Kang,0.82
1,41,Lim,0.86
1,41,Ko,0.78
1,42,Lee,0.78
1,42,Shin,0.06
1,42,Kang,0.78
1,42,Lim,0.56
1,42,Ko,0.82
1,43,Lee,0.74
1,43,Shin,0.06
1,43,Kang,0.88
1,43,Lim,0.76
1,43,Ko,0.84
1,44,Lee,0.68
1,44,Shin,0.04
1,44,Kang,0.96
1,44,Lim,0.68
1,44,Ko,0.7
1,45,Lee,0.48
1,45,Shin,0.08
1,45,Kang,0.96
1,45,Lim,0.7
1,45,Ko,0.8
1,46,Lee,0.88
1,46,Shin,0.04
1,46,Kang,0.82
1,46,Lim,0.84
1,46,Ko,0.84
1,47,Lee,0.9
1,47,Shin,0.1
1,47,Kang,0.94
1,47,Lim,0.8
1,47,Ko,0.76
1,48,Lee,0.52
1,48,Shin,0.1
1,48,Kang,0.82
1,48,Lim,0.84
1,48,Ko,0.7
1,49,Lee,0.56
1,49,Shin,0.08
1,49,Kang,1.06
1,49,Lim,0.64
1,49,Ko,0.72
1,50,Lee,0.64
1,50,Shin,0.12
1,50,Kang,0.74
1,50,Lim,0.62
1,50,Ko,0.74
1,51,Lee,0.58
1,51,Shin,0.06
1,51,Kang,0.92
1,51,Lim,0.6
1,51,Ko,0.64
1,52,Lee,0.54
1,52,Shin,0.14
1,52,Kang,0.96
1,52,Lim,0.76
1,52,Ko,0.72
1,53,Lee,0.44
