Run,Step,Probability of Winning
0,0,0.4486666666666666
0,1,0.5585
0,2,0.5668333333333333
0,3,0.6268333333333334
0,4,0.5785
0,5,0.6753333333333333
0,6,0.6296666666666666
0,7,0.6351666666666668
0,8,0.6143333333333334
0,9,0.5811666666666667
0,10,0.5633333333333334
0,11,0.6048333333333332
0,12,0.5051666666666668
0,13,0.5328333333333334
0,14,0.5541666666666667
0,15,0.589
0,16,0.5701666666666667
0,17,0.5295000000000001
0,18,0.5251666666666666
0,19,0.5309999999999999
0,20,0.4776666666666667
0,21,0.524
0,22,0.47916666666666674
0,23,0.5183333333333333
0,24,0.561
0,25,0.44533333333333336
0,26,0.486
0,27,0.4643333333333333
0,28,0.45016666666666666
0,29,0.49083333333333334
0,30,0.5038333333333332
0,31,0.4663333333333333
0,32,0.4985
0,33,0.5298333333333334
0,34,0.518
0,35,0.578
0,36,0.5716666666666667
0,37,0.5395
0,38,0.5438333333333334
0,39,0.6001666666666666
0,40,0.5681666666666666
0,41,0.5413333333333333
0,42,0.5296666666666666
0,43,0.5538333333333333
0,44,0.5251666666666667
0,45,0.5411666666666667
0,46,0.5473333333333333
0,47,0.5763333333333333
0,48,0.5511666666666667
0,49,0.5261666666666667
