Run,Step,Agent,Reward
0,0,Lee,0.0
0,0,Shin,0.3
0,0,Kang,0.78
0,0,Lim,1.06
0,0,Ko,0.94
0,1,Lee,0.0
0,1,Shin,0.24
0,1,Kang,0.8
0,1,Lim,0.9
0,1,Ko,1.02
0,2,Lee,0.0
0,2,Shin,0.2
0,2,Kang,1.04
0,2,Lim,0.64
0,2,Ko,1.2
0,3,Lee,0.0
0,3,Shin,0.26
0,3,Kang,0.86
0,3,Lim,0.76
0,3,Ko,0.98
0,4,Lee,0.0
0,4,Shin,0.32
0,4,Kang,0.96
0,4,Lim,0.62
0,4,Ko,1.04
0,5,Lee,0.0
0,5,Shin,0.34
0,5,Kang,1.08
0,5,Lim,0.72
0,5,Ko,1.0
0,6,Lee,0.0
0,6,Shin,0.26
0,6,Kang,1.06
0,6,Lim,0.86
0,6,Ko,0.94
0,7,Lee,0.0
0,7,Shin,0.3
0,7,Kang,0.86
0,7,Lim,0.68
0,7,Ko,1.0
0,8,Lee,0.0
0,8,Shin,0.24
0,8,Kang,1.0
0,8,Lim,0.76
0,8,Ko,0.96
0,9,Lee,0.0
0,9,Shin,0.2
0,9,Kang,1.04
0,9,Lim,0.98
0,9,Ko,1.12
0,10,Lee,0.0
0,10,Shin,0.18
0,10,Kang,1.02
0,10,Lim,0.7
0,10,Ko,0.98
0,11,Lee,0.0
0,11,Shin,0.26
0,11,Kang,1.18
0,11,Lim,0.78
0,11,Ko,1.04
0,12,Lee,0.0
0,12,Shin,0.16
0,12,Kang,1.06
0,12,Lim,0.7
0,12,Ko,0.92
0,13,Lee,0.0
0,13,Shin,0.28
0,13,Kang,1.08
0,13,Lim,0.6
0,13,Ko,1.06
0,14,Lee,0.0
0,14,Shin,0.26
0,14,Kang,1.0
0,14,Lim,0.58
0,14,Ko,1.1
0,15,Lee,0.0
0,15,Shin,0.26
0,15,Kang,1.26
0,15,Lim,0.7
0,15,Ko,1.14
0,16,Lee,0.0
0,16,Shin,0.26
0,16,Kang,1.2
0,16,Lim,0.76
0,16,Ko,1.06
0,17,Lee,0.0
0,17,Shin,0.2
0,17,Kang,1.24
0,17,Lim,0.66
0,17,Ko,1.0
0,18,Lee,0.0
0,18,Shin,0.16
0,18,Kang,1.16
0,18,Lim,0.7
0,18,Ko,1.06
0,19,Lee,0.0
0,19,Shin,0.26
0,19,Kang,0.98
0,19,Lim,0.68
0,19,Ko,1.14
0,20,Lee,0.0
0,20,Shin,0.28
0,20,Kang,1.16
0,20,Lim,0.78
0,20,Ko,1.3
0,21,Lee,0.0
0,21,Shin,0.3
0,21,Kang,1.28
0,21,Lim,0.9
0,21,Ko,1.14
0,22,Lee,0.0
0,22,Shin,0.14
0,22,Kang,1.38
0,22,Lim,0.92
0,22,Ko,1.12
0,23,Lee,0.0
0,23,Shin,0.32
0,23,Kang,1.36
0,23,Lim,0.7
0,23,Ko,1.28
0,24,Lee,0.0
0,24,Shin,0.32
0,24,Kang,1.44
0,24,Lim,0.68
0,24,Ko,0.92
0,25,Lee,0.0
0,25,Shin,0.44
0,25,Kang,1.06
0,25,Lim,0.8
0,25,Ko,0.92
0,26,Lee,0.0
0,26,Shin,0.32
0,26,Kang,1.28
0,26,Lim,0.98
0,26,Ko,1.1
0,27,Lee,0.0
0,27,Shin,0.24
0,27,Kang,1.32
0,27,Lim,1.0
0,27,Ko,1.0
0,28,Lee,0.0
0,28,Shin,0.34
0,28,Kang,1.24
0,28,Lim,0.8
0,28,Ko,1.0
0,29,Lee,0.0
0,29,Shin,0.26
0,29,Kang,1.16
0,29,Lim,0.74
0,29,Ko,0.98
0,30,Lee,0.0
0,30,Shin,0.14
0,30,Kang,1.4
0,30,Lim,0.94
0,30,Ko,1.28
0,31,Lee,0.0
0,31,Shin,0.18
0,31,Kang,1.5
0,31,Lim,0.76
0,31,Ko,1.08
0,32,Lee,0.0
0,32,Shin,0.18
0,32,Kang,1.34
0,32,Lim,0.9
0,32,Ko,1.14
0,33,Lee,0.0
0,33,Shin,0.38
0,33,Kang,1.24
0,33,Lim,0.8
0,33,Ko,0.88
0,34,Lee,0.0
0,34,Shin,0.14
0,34,Kang,1.36
0,34,Lim,0.92
0,34,Ko,1.04
0,35,Lee,0.0
0,35,Shin,0.08
0,35,Kang,1.34
0,35,Lim,0.86
0,35,Ko,1.18
0,36,Lee,0.0
0,36,Shin,0.14
0,36,Kang,1.26
0,36,Lim,0.9
0,36,Ko,1.08
0,37,Lee,0.0
0,37,Shin,0.18
0,37,Kang,1.3
0,37,Lim,0.84
0,37,Ko,1.1
0,38,Lee,0.0
0,38,Shin,0.08
0,38,Kang,1.06
0,38,Lim,1.1
0,38,Ko,1.0
0,39,Lee,0.0
0,39,Shin,0.1
0,39,Kang,1.4
0,39,Lim,1.14
