Run,Step,Agent,Episode Length
0,0,Lee,6.0
0,0,Shin,6.0
0,0,Kang,5.16
0,0,Lim,5.98
0,0,Ko,5.82
0,1,Lee,6.0
0,1,Shin,6.0
0,1,Kang,4.14
0,1,Lim,5.98
0,1,Ko,5.8
0,2,Lee,6.0
0,2,Shin,6.0
0,2,Kang,4.28
0,2,Lim,6.0
0,2,Ko,4.92
0,3,Lee,6.0
0,3,Shin,6.0
0,3,Kang,3.64
0,3,Lim,6.0
0,3,Ko,4.8
0,4,Lee,6.0
0,4,Shin,6.0
0,4,Kang,3.8
0,4,Lim,5.98
0,4,Ko,4.36
0,5,Lee,6.0
0,5,Shin,6.0
0,5,Kang,4.0
0,5,Lim,5.98
0,5,Ko,4.4
0,6,Lee,6.0
0,6,Shin,6.0
0,6,Kang,3.88
0,6,Lim,6.0
0,6,Ko,4.48
0,7,Lee,6.0
0,7,Shin,6.0
0,7,Kang,4.18
0,7,Lim,6.0
0,7,Ko,4.54
0,8,Lee,6.0
0,8,Shin,6.0
0,8,Kang,4.08
0,8,Lim,6.0
0,8,Ko,4.46
0,9,Lee,6.0
0,9,Shin,6.0
0,9,Kang,3.98
0,9,Lim,5.98
0,9,Ko,4.82
0,10,Lee,6.0
0,10,Shin,6.0
0,10,Kang,4.32
0,10,Lim,5.94
0,10,Ko,4.54
0,11,Lee,6.0
0,11,Shin,6.0
0,11,Kang,4.12
0,11,Lim,6.0
0,11,Ko,4.8
0,12,Lee,6.0
0,12,Shin,6.0
0,12,Kang,4.14
0,12,Lim,6.0
0,12,Ko,4.4
0,13,Lee,6.0
0,13,Shin,6.0
0,13,Kang,4.22
0,13,Lim,6.0
0,13,Ko,4.62
0,14,Lee,6.0
0,14,Shin,6.0
0,14,Kang,4.2
0,14,Lim,6.0
0,14,Ko,4.84
0,15,Lee,6.0
0,15,Shin,6.0
0,15,Kang,4.08
0,15,Lim,6.0
0,15,Ko,5.06
0,16,Lee,6.0
0,16,Shin,6.0
0,16,Kang,3.74
0,16,Lim,6.0
0,16,Ko,5.02
0,17,Lee,6.0
0,17,Shin,6.0
0,17,Kang,4.6
0,17,Lim,6.0
0,17,Ko,5.04
0,18,Lee,6.0
0,18,Shin,6.0
0,18,Kang,4.5
0,18,Lim,6.0
0,18,Ko,5.2
0,19,Lee,6.0
0,19,Shin,6.0
0,19,Kang,4.3
0,19,Lim,5.98
0,19,Ko,5.08
0,20,Lee,6.0
0,20,Shin,6.0
0,20,Kang,4.7
0,20,Lim,6.0
0,20,Ko,5.2
0,21,Lee,6.0
0,21,Shin,6.0
0,21,Kang,5.04
0,21,Lim,5.94
0,21,Ko,4.94
0,22,Lee,6.0
0,22,Shin,6.0
0,22,Kang,5.0
0,22,Lim,6.0
0,22,Ko,4.72
0,23,Lee,6.0
0,23,Shin,6.0
0,23,Kang,5.44
0,23,Lim,5.94
0,23,Ko,4.74
0,24,Lee,6.0
0,24,Shin,6.0
0,24,Kang,4.66
0,24,Lim,6.0
0,24,Ko,4.92
0,25,Lee,6.0
0,25,Shin,6.0
0,25,Kang,5.3
0,25,Lim,6.0
0,25,Ko,4.82
0,26,Lee,6.0
0,26,Shin,6.0
0,26,Kang,5.3
0,26,Lim,5.96
0,26,Ko,5.04
0,27,Lee,6.0
0,27,Shin,6.0
0,27,Kang,5.08
0,27,Lim,5.98
0,27,Ko,5.16
0,28,Lee,6.0
0,28,Shin,6.0
0,28,Kang,5.66
0,28,Lim,6.0
0,28,Ko,4.82
0,29,Lee,6.0
0,29,Shin,6.0
0,29,Kang,5.32
0,29,Lim,6.0
0,29,Ko,4.96
0,30,Lee,6.0
0,30,Shin,6.0
0,30,Kang,5.24
0,30,Lim,6.0
0,30,Ko,4.6
0,31,Lee,6.0
0,31,Shin,6.0
0,31,Kang,5.04
0,31,Lim,5.88
0,31,Ko,5.08
0,32,Lee,6.0
0,32,Shin,6.0
0,32,Kang,5.58
0,32,Lim,6.0
0,32,Ko,4.88
0,33,Lee,6.0
