Run,Step,Agent,Probability of Winning
0,0,Lee,0.0
0,0,Shin,0.055
0,0,Kang,0.4016666666666666
0,0,Lim,0.245
0,0,Ko,0.395
0,1,Lee,0.0
0,1,Shin,0.07
0,1,Kang,0.4733333333333334
0,1,Lim,0.215
0,1,Ko,0.37333333333333335
0,2,Lee,0.0
0,2,Shin,0.025
0,2,Kang,0.525
0,2,Lim,0.165
0,2,Ko,0.47833333333333333
0,3,Lee,0.0
0,3,Shin,0.015
0,3,Kang,0.6866666666666668
0,3,Lim,0.12
0,3,Ko,0.45833333333333337
0,4,Lee,0.0
0,4,Shin,0.035
0,4,Kang,0.6083333333333334
0,4,Lim,0.09
0,4,Ko,0.5100000000000001
0,5,Lee,0.0
0,5,Shin,0.015
0,5,Kang,0.6283333333333334
0,5,Lim,0.055
0,5,Ko,0.555
0,6,Lee,0.0
0,6,Shin,0.02
0,6,Kang,0.6433333333333334
0,6,Lim,0.08
0,6,Ko,0.5333333333333334
0,7,Lee,0.0
0,7,Shin,0.03
0,7,Kang,0.6333333333333334
0,7,Lim,0.055
0,7,Ko,0.5716666666666668
0,8,Lee,0.0
0,8,Shin,0.01
0,8,Kang,0.6233333333333334
0,8,Lim,0.06
0,8,Ko,0.6033333333333334
0,9,Lee,0.0
0,9,Shin,0.005
0,9,Kang,0.6966666666666668
0,9,Lim,0.05
0,9,Ko,0.5316666666666667
0,10,Lee,0.0
0,10,Shin,0.01
0,10,Kang,0.645
0,10,Lim,0.105
0,10,Ko,0.55
0,11,Lee,0.0
0,11,Shin,0.025
0,11,Kang,0.5666666666666667
0,11,Lim,0.085
0,11,Ko,0.5800000000000002
0,12,Lee,0.0
0,12,Shin,0.015
0,12,Kang,0.5866666666666667
0,12,Lim,0.07
0,12,Ko,0.5583333333333335
0,13,Lee,0.0
0,13,Shin,0.02
0,13,Kang,0.5616666666666668
0,13,Lim,0.085
0,13,Ko,0.5900000000000001
0,14,Lee,0.0
0,14,Shin,0.005
0,14,Kang,0.5933333333333334
0,14,Lim,0.11
0,14,Ko,0.5716666666666669
0,15,Lee,0.0
0,15,Shin,0.01
0,15,Kang,0.5816666666666669
0,15,Lim,0.085
0,15,Ko,0.5733333333333335
0,16,Lee,0.0
0,16,Shin,0.005
0,16,Kang,0.6133333333333335
0,16,Lim,0.07
0,16,Ko,0.555
0,17,Lee,0.0
0,17,Shin,0.0
0,17,Kang,0.5650000000000002
0,17,Lim,0.065
0,17,Ko,0.5900000000000001
0,18,Lee,0.0
0,18,Shin,0.005
0,18,Kang,0.6433333333333335
0,18,Lim,0.07333333333333333
0,18,Ko,0.5216666666666667
0,19,Lee,0.0
0,19,Shin,0.0
0,19,Kang,0.6850000000000002
0,19,Lim,0.055
0,19,Ko,0.5733333333333335
0,20,Lee,0.0
0,20,Shin,0.0
0,20,Kang,0.6366666666666668
0,20,Lim,0.05
0,20,Ko,0.6033333333333334
0,21,Lee,0.0
0,21,Shin,0.01
0,21,Kang,0.6483333333333334
0,21,Lim,0.07
0,21,Ko,0.555
0,22,Lee,0.0
0,22,Shin,0.005
0,22,Kang,0.6166666666666667
0,22,Lim,0.085
0,22,Ko,0.5366666666666667
0,23,Lee,0.0
0,23,Shin,0.005
0,23,Kang,0.6283333333333334
0,23,Lim,0.065
0,23,Ko,0.6050000000000001
0,24,Lee,0.0
