Run,Step,Agent,Episode Length
1,6,Kang,3.36
1,6,Lim,4.0
1,6,Ko,3.7
1,7,Lee,4.0
1,7,Shin,4.0
1,7,Kang,3.32
1,7,Lim,4.0
1,7,Ko,3.74
1,8,Lee,4.0
1,8,Shin,4.0
1,8,Kang,3.4
1,8,Lim,4.0
1,8,Ko,3.68
1,9,Lee,4.0
1,9,Shin,4.0
1,9,Kang,3.32
1,9,Lim,4.0
1,9,Ko,3.62
1,10,Lee,4.0
1,10,Shin,4.0
1,10,Kang,3.18
1,10,Lim,4.0
1,10,Ko,3.56
1,11,Lee,4.0
1,11,Shin,4.0
1,11,Kang,3.3
1,11,Lim,4.0
1,11,Ko,3.68
1,12,Lee,4.0
1,12,Shin,4.0
1,12,Kang,3.16
1,12,Lim,4.0
1,12,Ko,3.82
1,13,Lee,4.0
1,13,Shin,4.0
1,13,Kang,3.26
1,13,Lim,4.0
1,13,Ko,3.74
1,14,Lee,4.0
1,14,Shin,4.0
1,14,Kang,3.14
1,14,Lim,4.0
1,14,Ko,3.64
1,15,Lee,4.0
1,15,Shin,4.0
1,15,Kang,3.36
1,15,Lim,4.0
1,15,Ko,3.84
1,16,Lee,4.0
1,16,Shin,4.0
1,16,Kang,3.4
1,16,Lim,4.0
1,16,Ko,3.7
1,17,Lee,4.0
1,17,Shin,4.0
1,17,Kang,3.44
1,17,Lim,4.0
1,17,Ko,3.6
1,18,Lee,4.0
1,18,Shin,4.0
1,18,Kang,3.42
1,18,Lim,4.0
1,18,Ko,3.78
1,19,Lee,4.0
1,19,Shin,4.0
1,19,Kang,3.36
1,19,Lim,4.0
1,19,Ko,3.66
1,20,Lee,4.0
1,20,Shin,4.0
1,20,Kang,3.48
1,20,Lim,4.0
1,20,Ko,3.7
1,21,Lee,4.0
1,21,Shin,4.0
1,21,Kang,3.3
1,21,Lim,4.0
1,21,Ko,3.8
1,22,Lee,4.0
1,22,Shin,4.0
1,22,Kang,3.48
1,22,Lim,4.0
1,22,Ko,3.62
1,23,Lee,4.0
1,23,Shin,4.0
1,23,Kang,3.1
1,23,Lim,3.96
1,23,Ko,3.88
1,24,Lee,4.0
1,24,Shin,4.0
1,24,Kang,3.6
1,24,Lim,4.0
1,24,Ko,3.52
1,25,Lee,4.0
1,25,Shin,4.0
1,25,Kang,3.36
1,25,Lim,4.0
1,25,Ko,3.86
1,26,Lee,4.0
1,26,Shin,4.0
1,26,Kang,3.36
1,26,Lim,4.0
1,26,Ko,3.76
1,27,Lee,4.0
1,27,Shin,4.0
1,27,Kang,3.26
1,27,Lim,3.98
1,27,Ko,3.86
1,28,Lee,4.0
1,28,Shin,4.0
1,28,Kang,3.56
