Run,Step,Agent,Probability of Winning
1,2,Shin,0.5526666666666666
1,2,Kang,0.38866666666666655
1,2,Lim,0.2886666666666667
1,2,Ko,0.05666666666666665
1,3,Lee,0.21066666666666664
1,3,Shin,0.4506666666666666
1,3,Kang,0.4513333333333333
1,3,Lim,0.1993333333333333
1,3,Ko,0.05666666666666665
1,4,Lee,0.2193333333333334
1,4,Shin,0.5146666666666667
1,4,Kang,0.3626666666666666
1,4,Lim,0.23
1,4,Ko,0.04666666666666666
1,5,Lee,0.2366666666666666
1,5,Shin,0.4733333333333333
1,5,Kang,0.4100000000000001
1,5,Lim,0.15600000000000006
1,5,Ko,0.06999999999999998
1,6,Lee,0.22399999999999998
1,6,Shin,0.4560000000000002
1,6,Kang,0.40733333333333327
1,6,Lim,0.2253333333333333
1,6,Ko,0.06999999999999999
1,7,Lee,0.24266666666666661
1,7,Shin,0.45133333333333325
1,7,Kang,0.3466666666666668
1,7,Lim,0.222
1,7,Ko,0.07999999999999997
1,8,Lee,0.27399999999999997
1,8,Shin,0.47
1,8,Kang,0.35066666666666657
1,8,Lim,0.242
1,8,Ko,0.07333333333333332
1,9,Lee,0.3173333333333333
1,9,Shin,0.4219999999999998
1,9,Kang,0.2966666666666667
1,9,Lim,0.234
1,9,Ko,0.08333333333333331
1,10,Lee,0.32866666666666666
1,10,Shin,0.46133333333333326
1,10,Kang,0.32933333333333337
1,10,Lim,0.1726666666666667
1,10,Ko,0.05799999999999999
1,11,Lee,0.2673333333333333
1,11,Shin,0.38799999999999996
1,11,Kang,0.4406666666666667
1,11,Lim,0.22066666666666662
1,11,Ko,0.059999999999999984
1,12,Lee,0.30500000000000005
1,12,Shin,0.45866666666666667
1,12,Kang,0.31733333333333336
1,12,Lim,0.136
1,12,Ko,0.11466666666666668
1,13,Lee,0.30533333333333323
1,13,Shin,0.5546666666666666
1,13,Kang,0.29466666666666674
1,13,Lim,0.15666666666666676
1,13,Ko,0.1
1,14,Lee,0.37866666666666665
1,14,Shin,0.474
1,14,Kang,0.2926666666666667
1,14,Lim,0.16666666666666669
1,14,Ko,0.1
1,15,Lee,0.40933333333333316
1,15,Shin,0.49266666666666675
1,15,Kang,0.284
1,15,Lim,0.15733333333333335
1,15,Ko,0.06466666666666666
1,16,Lee,0.4000000000000001
1,16,Shin,0.5246666666666666
1,16,Kang,0.2706666666666666
1,16,Lim,0.15600000000000006
1,16,Ko,0.04999999999999999
1,17,Lee,0.3633333333333333
1,17,Shin,0.606
1,17,Kang,0.292
1,17,Lim,0.1613333333333334
1,17,Ko,0.04333333333333333
1,18,Lee,0.38800000000000007
1,18,Shin,0.6153333333333335
1,18,Kang,0.28466666666666673
1,18,Lim,0.1366666666666667
1,18,Ko,0.03666666666666667
1,19,Lee,0.34199999999999997
1,19,Shin,0.6673333333333334
1,19,Kang,0.2726666666666666
1,19,Lim,0.14000000000000004
1,19,Ko,0.06999999999999998
1,20,Lee,0.4456666666666667
1,20,Shin,0.6559999999999999
1,20,Kang,0.26733333333333326
1,20,Lim,0.1406666666666667
1,20,Ko,0.04333333333333333
1,21,Lee,0.446
1,21,Shin,0.6153333333333333
1,21,Kang,0.252
1,21,Lim,0.12933333333333338
1,21,Ko,0.05466666666666665
1,22,Lee,0.40333333333333327
1,22,Shin,0.7106666666666667
1,22,Kang,0.2413333333333333
1,22,Lim,0.12133333333333336
1,22,Ko,0.04666666666666666
1,23,Lee,0.4599999999999999
1,23,Shin,0.6113333333333333
1,23,Kang,0.2913333333333334
1,23,Lim,0.11800000000000002
1,23,Ko,0.03333333333333333
1,24,Lee,0.44066666666666665
1,24,Shin,0.6833333333333332
1,24,Kang,0.29066666666666663
1,24,Lim,0.10466666666666667
1,24,Ko,0.03666666666666667
1,25,Lee,0.41466666666666663
1,25,Shin,0.7666666666666666
1,25,Kang,0.21533333333333327
1,25,Lim,0.1446666666666667
1,25,Ko,0.04333333333333333
1,26,Lee,0.4713333333333335
1,26,Shin,0.7046666666666668
1,26,Kang,0.23133333333333345
1,26,Lim,0.09599999999999997
1,26,Ko,0.059999999999999984
1,27,Lee,0.5266666666666667
1,27,Shin,0.6773333333333333
1,27,Kang,0.25333333333333335
1,27,Lim,0.09133333333333332
1,27,Ko,0.04
1,28,Lee,0.56
1,28,Shin,0.6733333333333335
1,28,Kang,0.22866666666666663
1,28,Lim,0.09666666666666666
1,28,Ko,0.03666666666666667
1,29,Lee,0.4720000000000002
1,29,Shin,0.7106666666666668
1,29,Kang,0.2746666666666668
1,29,Lim,0.086
1,29,Ko,0.02333333333333333
1,30,Lee,0.502
1,30,Shin,0.6873333333333334
1,30,Kang,0.22800000000000004
1,30,Lim,0.1066666666666667
1,30,Ko,0.04333333333333334
1,31,Lee,0.43
1,31,Shin,0.7713333333333332
1,31,Kang,0.23999999999999996
