Run,Step,Agent,Episode Length
0,0,Lee,6.0
0,0,Shin,4.08
0,0,Kang,5.56
0,0,Lim,4.94
0,0,Ko,6.0
0,1,Lee,6.0
0,1,Shin,4.38
0,1,Kang,4.7
0,1,Lim,5.08
0,1,Ko,6.0
0,2,Lee,5.92
0,2,Shin,4.18
0,2,Kang,4.88
0,2,Lim,5.3
0,2,Ko,6.0
0,3,Lee,5.92
0,3,Shin,3.92
0,3,Kang,5.06
0,3,Lim,5.52
0,3,Ko,6.0
0,4,Lee,5.86
0,4,Shin,4.2
0,4,Kang,5.22
0,4,Lim,5.44
0,4,Ko,5.98
0,5,Lee,5.8
0,5,Shin,4.06
0,5,Kang,4.84
0,5,Lim,5.72
0,5,Ko,6.0
0,6,Lee,5.66
0,6,Shin,3.74
0,6,Kang,5.5
0,6,Lim,5.62
0,6,Ko,5.98
0,7,Lee,5.56
0,7,Shin,4.12
0,7,Kang,5.14
0,7,Lim,5.82
0,7,Ko,6.0
0,8,Lee,5.48
0,8,Shin,4.02
0,8,Kang,5.46
0,8,Lim,5.68
0,8,Ko,6.0
0,9,Lee,5.52
0,9,Shin,4.0
0,9,Kang,5.46
0,9,Lim,5.72
0,9,Ko,6.0
0,10,Lee,5.56
0,10,Shin,4.14
0,10,Kang,5.46
0,10,Lim,5.72
0,10,Ko,6.0
0,11,Lee,5.2
0,11,Shin,3.92
0,11,Kang,5.24
0,11,Lim,5.86
0,11,Ko,6.0
0,12,Lee,5.48
0,12,Shin,4.08
0,12,Kang,5.54
0,12,Lim,5.7
0,12,Ko,6.0
0,13,Lee,5.24
0,13,Shin,3.96
0,13,Kang,5.46
0,13,Lim,5.98
0,13,Ko,6.0
0,14,Lee,5.04
0,14,Shin,3.9
0,14,Kang,5.68
0,14,Lim,5.7
0,14,Ko,6.0
0,15,Lee,5.22
0,15,Shin,3.28
0,15,Kang,5.78
0,15,Lim,5.94
0,15,Ko,6.0
0,16,Lee,5.1
0,16,Shin,3.58
0,16,Kang,5.62
0,16,Lim,5.72
0,16,Ko,6.0
0,17,Lee,5.12
0,17,Shin,3.54
0,17,Kang,5.56
0,17,Lim,5.86
0,17,Ko,6.0
0,18,Lee,4.86
0,18,Shin,3.26
0,18,Kang,5.9
0,18,Lim,5.94
0,18,Ko,6.0
0,19,Lee,4.84
0,19,Shin,3.38
0,19,Kang,5.8
0,19,Lim,5.9
0,19,Ko,6.0
0,20,Lee,4.48
0,20,Shin,3.38
0,20,Kang,5.78
0,20,Lim,6.0
0,20,Ko,6.0
0,21,Lee,4.66
0,21,Shin,3.3
0,21,Kang,5.84
0,21,Lim,5.92
0,21,Ko,5.98
0,22,Lee,4.98
0,22,Shin,3.0
0,22,Kang,5.72
0,22,Lim,5.82
0,22,Ko,6.0
0,23,Lee,5.0
0,23,Shin,2.96
0,23,Kang,5.82
0,23,Lim,5.92
0,23,Ko,6.0
0,24,Lee,4.2
0,24,Shin,3.34
0,24,Kang,5.94
0,24,Lim,5.94
0,24,Ko,5.98
0,25,Lee,4.5
0,25,Shin,3.18
0,25,Kang,5.78
0,25,Lim,5.94
0,25,Ko,6.0
0,26,Lee,4.46
