Run,Step,Reward
0,0,1.44
0,1,1.72
0,2,1.53
0,3,1.52
0,4,1.76
0,5,1.68
0,6,1.61
0,7,1.58
0,8,1.67
0,9,1.72
0,10,1.7
0,11,1.61
0,12,1.64
0,13,1.6
0,14,1.66
0,15,1.61
0,16,1.61
0,17,1.61
0,18,1.47
0,19,1.53
0,20,1.58
0,21,1.58
0,22,1.56
0,23,1.79
0,24,1.82
0,25,1.87
0,26,1.9
0,27,1.86
0,28,1.99
0,29,2.01
0,30,1.96
0,31,2.04
0,32,2.0
0,33,2.01
0,34,2.02
0,35,2.12
0,36,1.86
0,37,2.09
0,38,2.14
0,39,2.11
0,40,2.18
0,41,1.92
0,42,2.16
0,43,2.29
0,44,2.26
0,45,2.04
0,46,1.97
0,47,2.07
0,48,2.2
0,49,2.08
1,0,1.43
1,1,1.47
1,2,1.45
1,3,1.61
1,4,1.46
1,5,1.46
1,6,1.64
1,7,1.45
1,8,1.51
1,9,1.53
1,10,1.62
1,11,1.54
1,12,1.55
1,13,1.54
1,14,1.47
1,15,1.44
1,16,1.39
1,17,1.66
1,18,1.62
1,19,1.68
1,20,1.65
1,21,1.67
1,22,1.7
1,23,1.69
1,24,1.65
1,25,1.85
1,26,1.79
1,27,1.98
1,28,1.87
1,29,2.0
1,30,1.84
1,31,1.92
1,32,1.93
1,33,1.89
1,34,1.98
1,35,1.91
1,36,1.66
1,37,1.81
1,38,2.11
1,39,1.9
1,40,1.87
1,41,1.92
1,42,1.85
1,43,1.9
1,44,1.92
1,45,2.0
1,46,1.88
1,47,1.88
1,48,1.98
1,49,1.93
2,0,1.61
2,1,1.68
2,2,1.66
2,3,1.71
2,4,1.53
2,5,1.78
2,6,1.8
2,7,1.69
2,8,1.76
2,9,1.69
2,10,1.7
2,11,1.76
2,12,1.72
2,13,1.69
2,14,1.73
2,15,1.78
2,16,1.83
2,17,1.68
2,18,1.73
2,19,1.79
2,20,1.75
2,21,1.74
2,22,1.74
2,23,1.74
2,24,1.75
2,25,1.7
2,26,1.8
2,27,1.69
2,28,1.67
2,29,1.79
2,30,1.77
2,31,2.12
2,32,2.06
2,33,2.1
2,34,2.16
2,35,2.07
2,36,2.22
2,37,2.24
2,38,2.22
2,39,2.19
2,40,2.14
2,41,2.18
2,42,2.1
2,43,2.31
2,44,2.16
2,45,2.08
2,46,2.15
2,47,2.26
2,48,2.18
2,49,2.26
