Run,Step,Agent,Episode Length
0,0,Lee,6.0
0,0,Shin,6.0
0,0,Kang,4.98
0,0,Lim,5.94
0,0,Ko,5.74
0,1,Lee,6.0
0,1,Shin,6.0
0,1,Kang,4.42
0,1,Lim,5.98
0,1,Ko,5.6
0,2,Lee,6.0
0,2,Shin,6.0
0,2,Kang,3.84
0,2,Lim,6.0
0,2,Ko,5.18
0,3,Lee,6.0
0,3,Shin,6.0
0,3,Kang,4.3
0,3,Lim,5.98
0,3,Ko,5.56
0,4,Lee,6.0
0,4,Shin,6.0
0,4,Kang,3.88
0,4,Lim,6.0
0,4,Ko,5.16
0,5,Lee,6.0
0,5,Shin,6.0
0,5,Kang,4.2
0,5,Lim,6.0
0,5,Ko,5.5
0,6,Lee,6.0
0,6,Shin,6.0
0,6,Kang,4.02
0,6,Lim,6.0
0,6,Ko,5.74
0,7,Lee,6.0
0,7,Shin,6.0
0,7,Kang,3.74
0,7,Lim,6.0
0,7,Ko,5.8
0,8,Lee,6.0
0,8,Shin,6.0
0,8,Kang,4.34
0,8,Lim,5.98
0,8,Ko,5.84
0,9,Lee,6.0
0,9,Shin,6.0
0,9,Kang,4.56
0,9,Lim,6.0
0,9,Ko,5.72
0,10,Lee,6.0
0,10,Shin,6.0
0,10,Kang,4.36
0,10,Lim,5.9
0,10,Ko,5.84
0,11,Lee,6.0
0,11,Shin,6.0
0,11,Kang,4.16
0,11,Lim,5.92
0,11,Ko,5.94
0,12,Lee,6.0
0,12,Shin,6.0
0,12,Kang,4.22
0,12,Lim,5.96
0,12,Ko,5.78
0,13,Lee,6.0
0,13,Shin,6.0
0,13,Kang,4.32
0,13,Lim,6.0
0,13,Ko,5.88
0,14,Lee,6.0
0,14,Shin,6.0
0,14,Kang,4.6
0,14,Lim,5.92
0,14,Ko,5.8
0,15,Lee,6.0
0,15,Shin,6.0
0,15,Kang,5.04
0,15,Lim,5.94
0,15,Ko,5.54
0,16,Lee,6.0
0,16,Shin,6.0
0,16,Kang,4.98
0,16,Lim,5.92
0,16,Ko,5.64
0,17,Lee,6.0
0,17,Shin,6.0
0,17,Kang,5.02
0,17,Lim,5.94
0,17,Ko,5.58
0,18,Lee,6.0
0,18,Shin,6.0
0,18,Kang,4.96
0,18,Lim,6.0
0,18,Ko,5.3
0,19,Lee,6.0
0,19,Shin,6.0
0,19,Kang,5.04
0,19,Lim,5.94
0,19,Ko,5.3
0,20,Lee,6.0
0,20,Shin,6.0
0,20,Kang,5.18
0,20,Lim,5.98
0,20,Ko,5.58
0,21,Lee,6.0
0,21,Shin,6.0
0,21,Kang,4.88
0,21,Lim,6.0
0,21,Ko,5.54
0,22,Lee,6.0
0,22,Shin,6.0
0,22,Kang,5.08
0,22,Lim,5.9
0,22,Ko,5.54
0,23,Lee,6.0
0,23,Shin,6.0
0,23,Kang,5.18
0,23,Lim,5.96
0,23,Ko,5.48
0,24,Lee,6.0
0,24,Shin,6.0
0,24,Kang,5.32
0,24,Lim,5.94
0,24,Ko,5.36
0,25,Lee,6.0
0,25,Shin,6.0
0,25,Kang,5.16
0,25,Lim,5.88
0,25,Ko,5.02
0,26,Lee,6.0
0,26,Shin,6.0
0,26,Kang,5.66
0,26,Lim,5.84
0,26,Ko,5.02
0,27,Lee,6.0
0,27,Shin,6.0
0,27,Kang,5.58
0,27,Lim,5.86
0,27,Ko,5.54
0,28,Lee,6.0
0,28,Shin,6.0
0,28,Kang,5.48
0,28,Lim,5.92
0,28,Ko,5.42
0,29,Lee,6.0
0,29,Shin,6.0
0,29,Kang,5.6
0,29,Lim,5.92
0,29,Ko,5.24
0,30,Lee,6.0
0,30,Shin,6.0
0,30,Kang,5.68
0,30,Lim,6.0
0,30,Ko,5.7
0,31,Lee,6.0
0,31,Shin,6.0
0,31,Kang,5.62
0,31,Lim,5.9
0,31,Ko,5.58
0,32,Lee,6.0
0,32,Shin,6.0
0,32,Kang,5.78
0,32,Lim,5.56
0,32,Ko,5.36
0,33,Lee,6.0
