Run,Step,Agent,Probability of Winning
0,0,Lee,0.0
0,0,Shin,0.05999999999999999
0,0,Kang,0.41199999999999976
0,0,Lim,0.2970000000000001
0,0,Ko,0.379
0,1,Lee,0.0
0,1,Shin,0.09666666666666666
0,1,Kang,0.5173333333333331
0,1,Lim,0.23200000000000004
0,1,Ko,0.3879999999999999
0,2,Lee,0.0
0,2,Shin,0.08666666666666663
0,2,Kang,0.6476666666666665
0,2,Lim,0.24666666666666665
0,2,Ko,0.4099999999999998
0,3,Lee,0.0
0,3,Shin,0.1
0,3,Kang,0.564
0,3,Lim,0.24866666666666667
0,3,Ko,0.36266666666666675
0,4,Lee,0.0
0,4,Shin,0.08999999999999998
0,4,Kang,0.6216666666666668
0,4,Lim,0.24333333333333332
0,4,Ko,0.434
0,5,Lee,0.0
0,5,Shin,0.08333333333333331
0,5,Kang,0.57
0,5,Lim,0.25999999999999995
0,5,Ko,0.3766666666666667
0,6,Lee,0.0
0,6,Shin,0.1066666666666667
0,6,Kang,0.6233333333333332
0,6,Lim,0.2566666666666666
0,6,Ko,0.31866666666666676
0,7,Lee,0.0
0,7,Shin,0.06333333333333332
0,7,Kang,0.66
0,7,Lim,0.26000000000000006
0,7,Ko,0.35200000000000004
0,8,Lee,0.0
0,8,Shin,0.07333333333333333
0,8,Kang,0.5650000000000001
0,8,Lim,0.2646666666666667
0,8,Ko,0.34400000000000014
0,9,Lee,0.0
0,9,Shin,0.07666666666666666
0,9,Kang,0.538333333333333
0,9,Lim,0.25
0,9,Ko,0.36
0,10,Lee,0.0
0,10,Shin,0.07666666666666663
0,10,Kang,0.5459999999999998
0,10,Lim,0.28833333333333344
0,10,Ko,0.3313333333333334
0,11,Lee,0.0
0,11,Shin,0.05333333333333332
0,11,Kang,0.5903333333333332
0,11,Lim,0.30733333333333335
0,11,Ko,0.3146666666666668
0,12,Lee,0.0
0,12,Shin,0.07333333333333332
0,12,Kang,0.5880000000000001
0,12,Lim,0.26
0,12,Ko,0.35400000000000015
0,13,Lee,0.0
0,13,Shin,0.06333333333333332
0,13,Kang,0.5816666666666666
0,13,Lim,0.25666666666666665
0,13,Ko,0.3426666666666667
0,14,Lee,0.0
0,14,Shin,0.05666666666666665
0,14,Kang,0.5286666666666665
0,14,Lim,0.2706666666666666
0,14,Ko,0.35933333333333345
0,15,Lee,0.0
0,15,Shin,0.06333333333333332
0,15,Kang,0.46099999999999997
0,15,Lim,0.298
0,15,Ko,0.36333333333333345
0,16,Lee,0.0
0,16,Shin,0.06666666666666664
0,16,Kang,0.46666666666666656
0,16,Lim,0.30833333333333335
0,16,Ko,0.3400000000000001
0,17,Lee,0.0
0,17,Shin,0.059999999999999984
0,17,Kang,0.4506666666666666
0,17,Lim,0.29333333333333333
0,17,Ko,0.37066666666666676
0,18,Lee,0.0
0,18,Shin,0.07666666666666665
0,18,Kang,0.48133333333333317
0,18,Lim,0.26333333333333336
0,18,Ko,0.4079999999999999
0,19,Lee,0.0
0,19,Shin,0.06999999999999999
0,19,Kang,0.4273333333333334
0,19,Lim,0.28366666666666673
