Run,Step,Probability of Winning
0,0,0.3053333333333333
0,1,0.8766666666666666
0,2,0.97
0,3,0.99
0,4,0.9933333333333333
0,5,0.99
0,6,0.9833333333333333
0,7,0.9866666666666667
0,8,0.99
0,9,0.9966666666666666
0,10,0.9900000000000001
0,11,0.9866666666666667
0,12,0.98
0,13,0.99
0,14,0.985
0,15,0.9833333333333333
0,16,0.99
0,17,0.99
0,18,0.9933333333333334
0,19,0.99
0,20,0.9933333333333333
0,21,0.9966666666666667
0,22,0.9833333333333334
0,23,0.99
0,24,0.9766666666666666
0,25,0.9866666666666666
0,26,0.9933333333333334
0,27,0.9866666666666667
0,28,0.9833333333333333
0,29,0.9833333333333334
0,30,0.9933333333333333
0,31,0.9833333333333333
0,32,0.9966666666666667
0,33,0.9933333333333333
0,34,1.0
0,35,0.9833333333333333
0,36,0.9866666666666667
0,37,1.0
0,38,0.99
0,39,0.9866666666666666
0,40,0.9833333333333333
0,41,0.99
0,42,0.9866666666666666
0,43,0.99
0,44,0.99
0,45,0.9816666666666666
0,46,0.9866666666666666
0,47,0.9933333333333334
0,48,0.985
0,49,0.9933333333333334
1,0,0.42416666666666664
1,1,0.83
1,2,0.9233333333333335
1,3,0.9399999999999998
1,4,0.9466666666666668
1,5,0.98
1,6,0.9733333333333334
1,7,0.97
1,8,0.9566666666666667
1,9,0.9666666666666667
1,10,0.6116666666666667
1,11,0.402
1,12,0.4148333333333334
1,13,0.42550000000000004
1,14,0.46366666666666667
1,15,0.456
1,16,0.47600000000000003
1,17,0.505
1,18,0.4918333333333333
1,19,0.47766666666666674
1,20,0.5105000000000001
1,21,0.5308333333333333
1,22,0.56
1,23,0.529
1,24,0.5003333333333334
1,25,0.5211666666666667
1,26,0.5429999999999999
1,27,0.5346666666666667
1,28,0.5781666666666666
1,29,0.5958333333333333
1,30,0.5984999999999999
1,31,0.5631666666666667
1,32,0.56
1,33,0.6213333333333334
1,34,0.5900000000000001
1,35,0.5545
1,36,0.5671666666666666
1,37,0.5758333333333333
1,38,0.5716666666666668
1,39,0.5465
1,40,0.5506666666666667
1,41,0.5753333333333334
1,42,0.6063333333333333
1,43,0.578
1,44,0.6211666666666666
1,45,0.5828333333333333
1,46,0.5840000000000001
1,47,0.5861666666666667
1,48,0.5893333333333333
1,49,0.5948333333333334
2,0,0.2815
2,1,0.7866666666666666
2,2,0.9416666666666665
2,3,0.9733333333333333
2,4,0.9866666666666667
2,5,0.99
2,6,0.9766666666666667
2,7,0.9833333333333334
2,8,0.99
2,9,0.99
2,10,0.9966666666666667
2,11,0.99
2,12,0.99
2,13,0.995
2,14,0.98
2,15,0.9866666666666667
2,16,0.9833333333333333
2,17,0.9933333333333334
2,18,0.99
2,19,0.9933333333333333
2,20,0.9839999999999999
2,21,0.9966666666666666
2,22,1.0
2,23,0.9816666666666666
2,24,0.9966666666666666
2,25,0.9966666666666666
2,26,0.9933333333333333
2,27,0.9933333333333333
2,28,0.9966666666666666
2,29,0.9966666666666666
2,30,0.98
2,31,0.9833333333333333
2,32,0.99
2,33,0.9866666666666666
2,34,0.98
2,35,0.99
2,36,0.9866666666666666
2,37,0.9966666666666666
2,38,0.99
2,39,0.9933333333333333
2,40,0.9933333333333334
2,41,0.9866666666666666
2,42,0.9966666666666666
2,43,0.9933333333333334
2,44,0.9933333333333333
2,45,0.9866666666666666
2,46,0.9966666666666666
2,47,0.99
2,48,0.9900000000000001
2,49,0.9766666666666666
