Run,Step,Agent,Episode Length
0,36,Lim,4.0
0,36,Ko,4.0
0,37,Lee,3.52
0,37,Shin,3.1
0,37,Kang,4.0
0,37,Lim,4.0
0,37,Ko,4.0
0,38,Lee,3.22
0,38,Shin,3.4
0,38,Kang,4.0
0,38,Lim,4.0
0,38,Ko,4.0
0,39,Lee,3.28
0,39,Shin,3.34
0,39,Kang,4.0
0,39,Lim,4.0
0,39,Ko,4.0
1,0,Lee,4.0
1,0,Shin,3.28
1,0,Kang,3.92
1,0,Lim,4.0
1,0,Ko,4.0
1,1,Lee,3.94
1,1,Shin,3.48
1,1,Kang,3.96
1,1,Lim,3.86
1,1,Ko,4.0
1,2,Lee,4.0
1,2,Shin,3.54
1,2,Kang,3.86
1,2,Lim,3.9
1,2,Ko,4.0
1,3,Lee,3.94
1,3,Shin,3.58
1,3,Kang,3.86
1,3,Lim,3.92
1,3,Ko,3.96
1,4,Lee,4.0
1,4,Shin,3.52
1,4,Kang,3.8
1,4,Lim,3.94
1,4,Ko,4.0
1,5,Lee,3.96
1,5,Shin,3.42
1,5,Kang,3.88
1,5,Lim,3.94
1,5,Ko,4.0
1,6,Lee,3.88
1,6,Shin,3.34
1,6,Kang,3.82
1,6,Lim,3.94
1,6,Ko,4.0
1,7,Lee,3.82
1,7,Shin,3.6
1,7,Kang,3.72
1,7,Lim,3.96
1,7,Ko,4.0
1,8,Lee,3.82
1,8,Shin,3.52
1,8,Kang,3.86
1,8,Lim,4.0
1,8,Ko,4.0
1,9,Lee,3.88
1,9,Shin,3.6
1,9,Kang,3.96
1,9,Lim,3.9
1,9,Ko,4.0
1,10,Lee,3.66
1,10,Shin,3.7
1,10,Kang,3.9
1,10,Lim,3.98
1,10,Ko,4.0
1,11,Lee,3.8
1,11,Shin,3.44
1,11,Kang,3.94
1,11,Lim,4.0
1,11,Ko,4.0
1,12,Lee,3.74
1,12,Shin,3.46
1,12,Kang,3.92
1,12,Lim,3.98
1,12,Ko,4.0
1,13,Lee,3.66
1,13,Shin,3.24
1,13,Kang,3.98
1,13,Lim,4.0
1,13,Ko,4.0
1,14,Lee,3.78
1,14,Shin,3.44
1,14,Kang,3.98
1,14,Lim,4.0
1,14,Ko,4.0
1,15,Lee,3.74
1,15,Shin,3.48
1,15,Kang,3.88
1,15,Lim,4.0
1,15,Ko,4.0
1,16,Lee,3.7
1,16,Shin,3.42
1,16,Kang,3.98
1,16,Lim,3.96
1,16,Ko,4.0
1,17,Lee,3.68
1,17,Shin,3.24
1,17,Kang,3.96
1,17,Lim,3.96
1,17,Ko,4.0
1,18,Lee,3.7
1,18,Shin,3.36
1,18,Kang,4.0
1,18,Lim,4.0
1,18,Ko,4.0
1,19,Lee,3.64
1,19,Shin,3.24
1,19,Kang,3.98
1,19,Lim,3.98
1,19,Ko,4.0
1,20,Lee,3.64
1,20,Shin,3.16
1,20,Kang,3.98
1,20,Lim,4.0
1,20,Ko,4.0
1,21,Lee,3.78
1,21,Shin,3.26
1,21,Kang,3.96
1,21,Lim,4.0
1,21,Ko,4.0
1,22,Lee,3.7
1,22,Shin,3.3
1,22,Kang,3.92
1,22,Lim,4.0
1,22,Ko,4.0
1,23,Lee,3.68
1,23,Shin,3.24
1,23,Kang,3.96
1,23,Lim,4.0
1,23,Ko,4.0
1,24,Lee,3.46
1,24,Shin,3.3
1,24,Kang,4.0
1,24,Lim,4.0
1,24,Ko,4.0
1,25,Lee,3.7
1,25,Shin,3.22
1,25,Kang,3.96
1,25,Lim,4.0
1,25,Ko,4.0
1,26,Lee,3.54
1,26,Shin,3.26
1,26,Kang,4.0
1,26,Lim,4.0
1,26,Ko,4.0
1,27,Lee,3.44
1,27,Shin,3.28
1,27,Kang,4.0
1,27,Lim,4.0
1,27,Ko,4.0
1,28,Lee,3.44
1,28,Shin,3.24
1,28,Kang,4.0
1,28,Lim,4.0
1,28,Ko,4.0
1,29,Lee,3.4
1,29,Shin,3.16
1,29,Kang,4.0
1,29,Lim,4.0
1,29,Ko,4.0
1,30,Lee,3.36
1,30,Shin,3.46
1,30,Kang,4.0
1,30,Lim,4.0
1,30,Ko,4.0
1,31,Lee,3.54
1,31,Shin,3.26
1,31,Kang,4.0
1,31,Lim,4.0
1,31,Ko,4.0
1,32,Lee,3.5
1,32,Shin,3.2
1,32,Kang,4.0
1,32,Lim,4.0
1,32,Ko,4.0
1,33,Lee,3.22
1,33,Shin,3.36
1,33,Kang,4.0
1,33,Lim,4.0
1,33,Ko,4.0
1,34,Lee,3.38
1,34,Shin,3.26
1,34,Kang,4.0
1,34,Lim,4.0
1,34,Ko,4.0
1,35,Lee,3.48
1,35,Shin,3.12
1,35,Kang,4.0
1,35,Lim,4.0
1,35,Ko,4.0
1,36,Lee,3.36
1,36,Shin,3.22
1,36,Kang,4.0
1,36,Lim,4.0
1,36,Ko,4.0
1,37,Lee,3.28
1,37,Shin,3.32
1,37,Kang,4.0
1,37,Lim,4.0
1,37,Ko,4.0
1,38,Lee,3.22
1,38,Shin,3.4
1,38,Kang,4.0
1,38,Lim,4.0
1,38,Ko,4.0
1,39,Lee,3.2
1,39,Shin,3.32
1,39,Kang,4.0
1,39,Lim,4.0
1,39,Ko,4.0
2,0,Lee,4.0
2,0,Shin,3.4
2,0,Kang,3.96
2,0,Lim,3.64
2,0,Ko,4.0
2,1,Lee,4.0
2,1,Shin,3.4
2,1,Kang,3.9
2,1,Lim,3.76
2,1,Ko,4.0
2,2,Lee,3.96
2,2,Shin,3.32
2,2,Kang,3.88
2,2,Lim,3.98
2,2,Ko,4.0
2,3,Lee,4.0
2,3,Shin,3.3
2,3,Kang,3.92
2,3,Lim,3.92
2,3,Ko,4.0
2,4,Lee,3.98
2,4,Shin,3.44
2,4,Kang,3.82
2,4,Lim,3.98
2,4,Ko,4.0
2,5,Lee,4.0
2,5,Shin,3.32
2,5,Kang,3.74
2,5,Lim,3.98
2,5,Ko,4.0
2,6,Lee,3.98
2,6,Shin,3.44
2,6,Kang,3.74
2,6,Lim,3.96
2,6,Ko,4.0
2,7,Lee,3.96
2,7,Shin,3.28
2,7,Kang,3.92
2,7,Lim,3.98
2,7,Ko,4.0
2,8,Lee,3.88
2,8,Shin,3.6
2,8,Kang,3.78
2,8,Lim,4.0
2,8,Ko,4.0
2,9,Lee,4.0
2,9,Shin,3.24
2,9,Kang,3.82
2,9,Lim,3.96
2,9,Ko,4.0
2,10,Lee,3.82
2,10,Shin,3.46
2,10,Kang,3.94
2,10,Lim,3.96
2,10,Ko,4.0
2,11,Lee,3.92
2,11,Shin,3.58
2,11,Kang,3.86
2,11,Lim,3.96
2,11,Ko,4.0
2,12,Lee,3.74
2,12,Shin,3.42
2,12,Kang,3.74
2,12,Lim,3.96
2,12,Ko,4.0
2,13,Lee,3.74
2,13,Shin,3.54
2,13,Kang,3.94
2,13,Lim,4.0
2,13,Ko,4.0
2,14,Lee,3.86
2,14,Shin,3.44
2,14,Kang,3.88
2,14,Lim,4.0
2,14,Ko,4.0
2,15,Lee,3.74
2,15,Shin,3.46
2,15,Kang,3.94
2,15,Lim,3.94
2,15,Ko,4.0
2,16,Lee,3.76
2,16,Shin,3.34
2,16,Kang,3.98
2,16,Lim,4.0
2,16,Ko,4.0
2,17,Lee,3.76
2,17,Shin,3.4
2,17,Kang,3.98
2,17,Lim,4.0
2,17,Ko,4.0
2,18,Lee,3.58
2,18,Shin,3.62
2,18,Kang,4.0
2,18,Lim,4.0
2,18,Ko,4.0
2,19,Lee,3.62
2,19,Shin,3.22
2,19,Kang,3.94
2,19,Lim,4.0
2,19,Ko,4.0
2,20,Lee,3.54
2,20,Shin,3.5
2,20,Kang,4.0
2,20,Lim,4.0
2,20,Ko,4.0
2,21,Lee,3.68
2,21,Shin,3.28
2,21,Kang,3.96
2,21,Lim,4.0
2,21,Ko,4.0
2,22,Lee,3.62
2,22,Shin,3.38
2,22,Kang,3.94
2,22,Lim,4.0
2,22,Ko,4.0
2,23,Lee,3.54
2,23,Shin,3.3
2,23,Kang,3.94
2,23,Lim,4.0
2,23,Ko,4.0
2,24,Lee,3.54
2,24,Shin,3.18
2,24,Kang,4.0
2,24,Lim,4.0
2,24,Ko,4.0
2,25,Lee,3.68
2,25,Shin,3.14
2,25,Kang,3.98
2,25,Lim,4.0
2,25,Ko,4.0
2,26,Lee,3.5
2,26,Shin,3.12
2,26,Kang,4.0
2,26,Lim,4.0
2,26,Ko,4.0
2,27,Lee,3.48
2,27,Shin,3.2
2,27,Kang,4.0
2,27,Lim,4.0
2,27,Ko,4.0
2,28,Lee,3.6
2,28,Shin,3.04
2,28,Kang,4.0
2,28,Lim,4.0
2,28,Ko,4.0
2,29,Lee,3.48
2,29,Shin,3.14
2,29,Kang,4.0
2,29,Lim,4.0
2,29,Ko,4.0
2,30,Lee,3.4
2,30,Shin,3.12
