Run,Step,Probability of Winning
0,0,0.5518333333333332
0,1,0.5548333333333333
0,2,0.5795
0,3,0.5943333333333334
0,4,0.5898333333333333
0,5,0.606
0,6,0.5964999999999999
0,7,0.5911666666666666
0,8,0.579
0,9,0.5621666666666666
0,10,0.5669999999999998
0,11,0.5941666666666666
0,12,0.6101666666666666
0,13,0.5716666666666667
0,14,0.5656666666666665
0,15,0.6065
0,16,0.5613333333333334
0,17,0.5428333333333333
0,18,0.518
0,19,0.4903333333333334
0,20,0.485
0,21,0.47016666666666657
0,22,0.5021666666666667
0,23,0.4963333333333334
0,24,0.5508333333333334
0,25,0.5468333333333333
0,26,0.5904999999999999
0,27,0.6093333333333333
0,28,0.6556666666666666
0,29,0.6903333333333334
0,30,0.7021666666666665
0,31,0.7523333333333333
0,32,0.7291666666666665
0,33,0.7123333333333334
0,34,0.6578333333333333
0,35,0.7011666666666666
0,36,0.6131666666666667
0,37,0.5658333333333333
0,38,0.5178333333333334
0,39,0.5105
0,40,0.5145000000000001
0,41,0.49733333333333335
0,42,0.49633333333333324
0,43,0.48783333333333334
0,44,0.48449999999999993
0,45,0.49750000000000005
0,46,0.4853333333333334
0,47,0.5015000000000001
0,48,0.503
0,49,0.49949999999999994
